Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX
49,0.4372,0.4372,0.4372,0.5934,0.5934,0.5934,0.5378,0.5378,0.5378,0.6758,0.6758,0.6758
50,0.397,0.397,0.397,0.4684,0.4684,0.4684,0.4459,0.4459,0.4459,0.6789,0.6789,0.6789
51,0.4352,0.4352,0.4352,0.4919,0.4919,0.4919,0.5102,0.5102,0.5102,0.6809,0.6809,0.6809
52,0.3639,0.3639,0.3639,0.3416,0.3416,0.3416,0.3322,0.3322,0.3322,0.6793,0.6793,0.6793
53,0.3729,0.3729,0.3729,0.4922,0.4922,0.4922,0.3766,0.3766,0.3766,0.6772,0.6772,0.6772
54,0.3828,0.3828,0.3828,0.4887,0.4887,0.4887,0.4143,0.4143,0.4143,0.6748,0.6748,0.6748
55,0.4772,0.4772,0.4772,0.4473,0.4473,0.4473,0.4307,0.4307,0.4307,0.6745,0.6745,0.6745
56,0.4095,0.4095,0.4095,0.6355,0.6355,0.6355,0.4327,0.4327,0.4327,0.6747,0.6747,0.6747
57,0.4521,0.4521,0.4521,0.5244,0.5244,0.5244,0.5366,0.5366,0.5366,0.6734,0.6734,0.6734
58,0.4814,0.4814,0.4814,0.701,0.701,0.701,0.493,0.493,0.493,0.671,0.671,0.671
59,0.4159,0.4159,0.4159,0.6417,0.6417,0.6417,0.4334,0.4334,0.4334,0.6666,0.6666,0.6666
60,0.541,0.541,0.541,0.7303,0.7303,0.7303,0.4248,0.4248,0.4248,0.6724,0.6724,0.6724
61,0.4365,0.4365,0.4365,0.7002,0.7002,0.7002,0.4039,0.4039,0.4039,0.6734,0.6734,0.6734
62,0.4085,0.4085,0.4085,0.6996,0.6996,0.6996,0.5719,0.5719,0.5719,0.6706,0.6706,0.6706
63,0.4084,0.4084,0.4084,0.678,0.678,0.678,0.5019,0.5019,0.5019,0.6728,0.6728,0.6728
64,0.4845,0.4845,0.4845,0.6438,0.6438,0.6438,0.6183,0.6183,0.6183,0.6723,0.6723,0.6723
65,0.448,0.448,0.448,0.7213,0.7213,0.7213,0.5353,0.5353,0.5353,0.677,0.677,0.677
66,0.4327,0.4327,0.4327,0.6729,0.6729,0.6729,0.4171,0.4171,0.4171,0.6714,0.6714,0.6714
67,0.586,0.586,0.586,0.5573,0.5573,0.5573,0.4701,0.4701,0.4701,0.6679,0.6679,0.6679
68,0.4384,0.4384,0.4384,0.5517,0.5517,0.5517,0.4939,0.4939,0.4939,0.6652,0.6652,0.6652
69,0.4505,0.4505,0.4505,0.5336,0.5336,0.5336,0.5809,0.5809,0.5809,0.665,0.665,0.665
70,0.3344,0.3344,0.3344,0.5759,0.5759,0.5759,0.4884,0.4884,0.4884,0.6649,0.6649,0.6649
71,0.3567,0.3567,0.3567,0.5526,0.5526,0.5526,0.489,0.489,0.489,0.6695,0.6695,0.6695
72,0.6041,0.6041,0.6041,0.6721,0.6721,0.6721,0.4081,0.4081,0.4081,0.6645,0.6645,0.6645
73,0.4602,0.4602,0.4602,0.7162,0.7162,0.7162,0.4193,0.4193,0.4193,0.6636,0.6636,0.6636
74,0.4826,0.4826,0.4826,0.6789,0.6789,0.6789,0.4895,0.4895,0.4895,0.6646,0.6646,0.6646
75,0.427,0.427,0.427,0.7351,0.7351,0.7351,0.4804,0.4804,0.4804,0.6704,0.6704,0.6704
76,0.5194,0.5194,0.5194,0.7006,0.7006,0.7006,0.5452,0.5452,0.5452,0.6632,0.6632,0.6632
77,0.4084,0.4084,0.4084,0.6978,0.6978,0.6978,0.5403,0.5403,0.5403,0.6668,0.6668,0.6668
78,0.5756,0.5756,0.5756,0.6955,0.6955,0.6955,0.3856,0.3856,0.3856,0.6677,0.6677,0.6677
79,0.3746,0.3746,0.3746,0.6697,0.6697,0.6697,0.5328,0.5328,0.5328,0.6684,0.6684,0.6684
80,0.2908,0.2908,0.2908,0.7253,0.7253,0.7253,0.4462,0.4462,0.4462,0.6664,0.6664,0.6664
81,0.2919,0.2919,0.2919,0.7406,0.7406,0.7406,0.5546,0.5546,0.5546,0.6726,0.6726,0.6726
82,0.359,0.359,0.359,0.6855,0.6855,0.6855,0.4673,0.4673,0.4673,0.6717,0.6717,0.6717
