Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX
211,0.4689,0.4689,0.4689,0.7593,0.7593,0.7593,0.5117,0.5117,0.5117,0.6802,0.6802,0.6802
212,0.5488,0.5488,0.5488,0.7169,0.7169,0.7169,0.3421,0.3421,0.3421,0.662,0.662,0.662
213,0.5647,0.5647,0.5647,0.6943,0.6943,0.6943,0.4119,0.4119,0.4119,0.6732,0.6732,0.6732
214,0.4981,0.4981,0.4981,0.7567,0.7567,0.7567,0.3431,0.3431,0.3431,0.6823,0.6823,0.6823
215,0.4804,0.4804,0.4804,0.7835,0.7835,0.7835,0.3856,0.3856,0.3856,0.6713,0.6713,0.6713
216,0.4987,0.4987,0.4987,0.7351,0.7351,0.7351,0.4987,0.4987,0.4987,0.6598,0.6598,0.6598
217,0.46,0.46,0.46,0.7368,0.7368,0.7368,0.4797,0.4797,0.4797,0.6668,0.6668,0.6668
218,0.3943,0.3943,0.3943,0.7246,0.7246,0.7246,0.5185,0.5185,0.5185,0.6382,0.6382,0.6382
219,0.3616,0.3616,0.3616,0.7662,0.7662,0.7662,0.5037,0.5037,0.5037,0.6638,0.6638,0.6638
220,0.3427,0.3427,0.3427,0.7143,0.7143,0.7143,0.4751,0.4751,0.4751,0.6543,0.6543,0.6543
221,0.4415,0.4415,0.4415,0.7094,0.7094,0.7094,0.4583,0.4583,0.4583,0.671,0.671,0.671
222,0.4781,0.4781,0.4781,0.6935,0.6935,0.6935,0.4047,0.4047,0.4047,0.6786,0.6786,0.6786
223,0.4836,0.4836,0.4836,0.7334,0.7334,0.7334,0.54,0.54,0.54,0.6641,0.6641,0.6641
224,0.4791,0.4791,0.4791,0.6842,0.6842,0.6842,0.5259,0.5259,0.5259,0.6776,0.6776,0.6776
225,0.4883,0.4883,0.4883,0.639,0.639,0.639,0.5676,0.5676,0.5676,0.6705,0.6705,0.6705
226,0.4532,0.4532,0.4532,0.7614,0.7614,0.7614,0.6095,0.6095,0.6095,0.6796,0.6796,0.6796
227,0.4253,0.4253,0.4253,0.6808,0.6808,0.6808,0.52,0.52,0.52,0.6598,0.6598,0.6598
228,0.3892,0.3892,0.3892,0.6996,0.6996,0.6996,0.5762,0.5762,0.5762,0.6862,0.6862,0.6862
229,0.461,0.461,0.461,0.7356,0.7356,0.7356,0.4386,0.4386,0.4386,0.6504,0.6504,0.6504
230,0.5089,0.5089,0.5089,0.7601,0.7601,0.7601,0.5515,0.5515,0.5515,0.6736,0.6736,0.6736
231,0.4234,0.4234,0.4234,0.7727,0.7727,0.7727,0.5954,0.5954,0.5954,0.6479,0.6479,0.6479
232,0.4998,0.4998,0.4998,0.762,0.762,0.762,0.484,0.484,0.484,0.6841,0.6841,0.6841
233,0.5289,0.5289,0.5289,0.7698,0.7698,0.7698,0.4359,0.4359,0.4359,0.6865,0.6865,0.6865
234,0.4602,0.4602,0.4602,0.7531,0.7531,0.7531,0.4793,0.4793,0.4793,0.6607,0.6607,0.6607
235,0.4408,0.4408,0.4408,0.6812,0.6812,0.6812,0.5533,0.5533,0.5533,0.6791,0.6791,0.6791
236,0.449,0.449,0.449,0.6804,0.6804,0.6804,0.4892,0.4892,0.4892,0.6823,0.6823,0.6823
237,0.4516,0.4516,0.4516,0.7125,0.7125,0.7125,0.5008,0.5008,0.5008,0.6499,0.6499,0.6499
238,0.5094,0.5094,0.5094,0.7188,0.7188,0.7188,0.5766,0.5766,0.5766,0.6729,0.6729,0.6729
239,0.4663,0.4663,0.4663,0.6925,0.6925,0.6925,0.4696,0.4696,0.4696,0.6555,0.6555,0.6555
240,0.4126,0.4126,0.4126,0.6819,0.6819,0.6819,0.476,0.476,0.476,0.6827,0.6827,0.6827
241,0.5338,0.5338,0.5338,0.7218,0.7218,0.7218,0.4682,0.4682,0.4682,0.6693,0.6693,0.6693
242,0.4652,0.4652,0.4652,0.6626,0.6626,0.6626,0.4583,0.4583,0.4583,0.6875,0.6875,0.6875
243,0.4752,0.4752,0.4752,0.6969,0.6969,0.6969,0.459,0.459,0.459,0.6571,0.6571,0.6571
244,0.3589,0.3589,0.3589,0.6982,0.6982,0.6982,0.5091,0.5091,0.5091,0.6515,0.6515,0.6515
245,0.4027,0.4027,0.4027,0.7463,0.7463,0.7463,0.4916,0.4916,0.4916,0.6743,0.6743,0.6743
246,0.448,0.448,0.448,0.678,0.678,0.678,0.532,0.532,0.532,0.6262,0.6262,0.6262
247,0.4805,0.4805,0.4805,0.7213,0.7213,0.7213,0.5089,0.5089,0.5089,0.6424,0.6424,0.6424
248,0.5242,0.5242,0.5242,0.7504,0.7504,0.7504,0.572,0.572,0.572,0.6407,0.6407,0.6407
249,0.4865,0.4865,0.4865,0.6956,0.6956,0.6956,0.4331,0.4331,0.4331,0.6717,0.6717,0.6717
250,0.4241,0.4241,0.4241,0.7744,0.7744,0.7744,0.4574,0.4574,0.4574,0.655,0.655,0.655
251,0.4966,0.4966,0.4966,0.7741,0.7741,0.7741,0.5289,0.5289,0.5289,0.6908,0.6908,0.6908
252,0.4668,0.4668,0.4668,0.7362,0.7362,0.7362,0.4687,0.4687,0.4687,0.6556,0.6556,0.6556
253,0.4868,0.4868,0.4868,0.7122,0.7122,0.7122,0.5151,0.5151,0.5151,0.6677,0.6677,0.6677
254,0.4429,0.4429,0.4429,0.7324,0.7324,0.7324,0.5086,0.5086,0.5086,0.6472,0.6472,0.6472
255,0.512,0.512,0.512,0.7575,0.7575,0.7575,0.4301,0.4301,0.4301,0.677,0.677,0.677
256,0.4398,0.4398,0.4398,0.745,0.745,0.745,0.4979,0.4979,0.4979,0.6466,0.6466,0.6466
257,0.4055,0.4055,0.4055,0.7342,0.7342,0.7342,0.4967,0.4967,0.4967,0.6504,0.6504,0.6504
258,0.4321,0.4321,0.4321,0.7651,0.7651,0.7651,0.5458,0.5458,0.5458,0.6449,0.6449,0.6449
259,0.3642,0.3642,0.3642,0.7575,0.7575,0.7575,0.4802,0.4802,0.4802,0.6793,0.6793,0.6793
260,0.5551,0.5551,0.5551,0.7186,0.7186,0.7186,0.5893,0.5893,0.5893,0.6732,0.6732,0.6732
261,0.5405,0.5405,0.5405,0.7561,0.7561,0.7561,0.4052,0.4052,0.4052,0.6703,0.6703,0.6703
262,0.412,0.412,0.412,0.6899,0.6899,0.6899,0.4387,0.4387,0.4387,0.6533,0.6533,0.6533
263,0.312,0.312,0.312,0.6254,0.6254,0.6254,0.5146,0.5146,0.5146,0.6486,0.6486,0.6486
264,0.4929,0.4929,0.4929,0.7116,0.7116,0.7116,0.4584,0.4584,0.4584,0.6401,0.6401,0.6401
265,0.4327,0.4327,0.4327,0.7338,0.7338,0.7338,0.5239,0.5239,0.5239,0.6626,0.6626,0.6626
266,0.4482,0.4482,0.4482,0.7813,0.7813,0.7813,0.4404,0.4404,0.4404,0.6652,0.6652,0.6652
267,0.4528,0.4528,0.4528,0.6941,0.6941,0.6941,0.5717,0.5717,0.5717,0.6828,0.6828,0.6828
268,0.38,0.38,0.38,0.7617,0.7617,0.7617,0.5165,0.5165,0.5165,0.6834,0.6834,0.6834
269,0.4912,0.4912,0.4912,0.7591,0.7591,0.7591,0.5038,0.5038,0.5038,0.6696,0.6696,0.6696
270,0.3926,0.3926,0.3926,0.7383,0.7383,0.7383,0.3367,0.3367,0.3367,0.6876,0.6876,0.6876
271,0.3945,0.3945,0.3945,0.7939,0.7939,0.7939,0.385,0.385,0.385,0.6445,0.6445,0.6445
272,0.5187,0.5187,0.5187,0.786,0.786,0.786,0.4348,0.4348,0.4348,0.6763,0.6763,0.6763
273,0.4446,0.4446,0.4446,0.7282,0.7282,0.7282,0.461,0.461,0.461,0.6848,0.6848,0.6848
274,0.469,0.469,0.469,0.7219,0.7219,0.7219,0.4337,0.4337,0.4337,0.6609,0.6609,0.6609
275,0.4747,0.4747,0.4747,0.7378,0.7378,0.7378,0.4802,0.4802,0.4802,0.6591,0.6591,0.6591
276,0.5478,0.5478,0.5478,0.7415,0.7415,0.7415,0.5021,0.5021,0.5021,0.6631,0.6631,0.6631
277,0.4395,0.4395,0.4395,0.7376,0.7376,0.7376,0.4128,0.4128,0.4128,0.6501,0.6501,0.6501
278,0.502,0.502,0.502,0.7531,0.7531,0.7531,0.327,0.327,0.327,0.6475,0.6475,0.6475
279,0.2934,0.2934,0.2934,0.6844,0.6844,0.6844,0.5409,0.5409,0.5409,0.6578,0.6578,0.6578
280,0.4763,0.4763,0.4763,0.7035,0.7035,0.7035,0.4692,0.4692,0.4692,0.6492,0.6492,0.6492
281,0.4398,0.4398,0.4398,0.7334,0.7334,0.7334,0.4773,0.4773,0.4773,0.6547,0.6547,0.6547
282,0.3589,0.3589,0.3589,0.771,0.771,0.771,0.4681,0.4681,0.4681,0.6879,0.6879,0.6879
283,0.4033,0.4033,0.4033,0.6036,0.6036,0.6036,0.486,0.486,0.486,0.6642,0.6642,0.6642
284,0.5212,0.5212,0.5212,0.6697,0.6697,0.6697,0.6378,0.6378,0.6378,0.6863,0.6863,0.6863
285,0.5254,0.5254,0.5254,0.7476,0.7476,0.7476,0.5111,0.5111,0.5111,0.68,0.68,0.68
286,0.587,0.587,0.587,0.7564,0.7564,0.7564,0.5434,0.5434,0.5434,0.6795,0.6795,0.6795
287,0.49,0.49,0.49,0.7705,0.7705,0.7705,0.5387,0.5387,0.5387,0.6638,0.6638,0.6638
288,0.5287,0.5287,0.5287,0.735,0.735,0.735,0.408,0.408,0.408,0.6829,0.6829,0.6829
289,0.4612,0.4612,0.4612,0.7266,0.7266,0.7266,0.4448,0.4448,0.4448,0.678,0.678,0.678
290,0.4626,0.4626,0.4626,0.7265,0.7265,0.7265,0.4231,0.4231,0.4231,0.671,0.671,0.671
291,0.4229,0.4229,0.4229,0.7341,0.7341,0.7341,0.4452,0.4452,0.4452,0.6791,0.6791,0.6791
292,0.487,0.487,0.487,0.7761,0.7761,0.7761,0.4103,0.4103,0.4103,0.6483,0.6483,0.6483
293,0.4616,0.4616,0.4616,0.7605,0.7605,0.7605,0.6296,0.6296,0.6296,0.6517,0.6517,0.6517
294,0.5119,0.5119,0.5119,0.7292,0.7292,0.7292,0.4884,0.4884,0.4884,0.6468,0.6468,0.6468
295,0.4773,0.4773,0.4773,0.755,0.755,0.755,0.561,0.561,0.561,0.6626,0.6626,0.6626
296,0.3607,0.3607,0.3607,0.7676,0.7676,0.7676,0.4534,0.4534,0.4534,0.646,0.646,0.646
297,0.3513,0.3513,0.3513,0.7747,0.7747,0.7747,0.5148,0.5148,0.5148,0.6555,0.6555,0.6555
298,0.4247,0.4247,0.4247,0.7878,0.7878,0.7878,0.4709,0.4709,0.4709,0.6229,0.6229,0.6229
299,0.3393,0.3393,0.3393,0.6864,0.6864,0.6864,0.3324,0.3324,0.3324,0.6471,0.6471,0.6471
300,0.5138,0.5138,0.5138,0.6049,0.6049,0.6049,0.5192,0.5192,0.5192,0.678,0.678,0.678
301,0.4013,0.4013,0.4013,0.6457,0.6457,0.6457,0.3797,0.3797,0.3797,0.6712,0.6712,0.6712
302,0.4609,0.4609,0.4609,0.7597,0.7597,0.7597,0.4628,0.4628,0.4628,0.686,0.686,0.686
303,0.4784,0.4784,0.4784,0.7727,0.7727,0.7727,0.5797,0.5797,0.5797,0.681,0.681,0.681
304,0.371,0.371,0.371,0.7159,0.7159,0.7159,0.532,0.532,0.532,0.6825,0.6825,0.6825
305,0.5672,0.5672,0.5672,0.7447,0.7447,0.7447,0.5958,0.5958,0.5958,0.6845,0.6845,0.6845
306,0.5839,0.5839,0.5839,0.7585,0.7585,0.7585,0.5347,0.5347,0.5347,0.6618,0.6618,0.6618
307,0.4852,0.4852,0.4852,0.6988,0.6988,0.6988,0.6081,0.6081,0.6081,0.6815,0.6815,0.6815
308,0.6062,0.6062,0.6062,0.7538,0.7538,0.7538,0.5503,0.5503,0.5503,0.669,0.669,0.669
309,0.4746,0.4746,0.4746,0.7759,0.7759,0.7759,0.5057,0.5057,0.5057,0.6912,0.6912,0.6912
310,0.5523,0.5523,0.5523,0.7671,0.7671,0.7671,0.606,0.606,0.606,0.6826,0.6826,0.6826
311,0.51,0.51,0.51,0.7663,0.7663,0.7663,0.5261,0.5261,0.5261,0.681,0.681,0.681
312,0.4484,0.4484,0.4484,0.7562,0.7562,0.7562,0.5802,0.5802,0.5802,0.6549,0.6549,0.6549
313,0.4214,0.4214,0.4214,0.7611,0.7611,0.7611,0.4441,0.4441,0.4441,0.6662,0.6662,0.6662
314,0.3545,0.3545,0.3545,0.673,0.673,0.673,0.4133,0.4133,0.4133,0.6814,0.6814,0.6814
315,0.4089,0.4089,0.4089,0.6613,0.6613,0.6613,0.4851,0.4851,0.4851,0.6734,0.6734,0.6734
316,0.552,0.552,0.552,0.6912,0.6912,0.6912,0.4996,0.4996,0.4996,0.6765,0.6765,0.6765
317,0.4819,0.4819,0.4819,0.7382,0.7382,0.7382,0.5282,0.5282,0.5282,0.6693,0.6693,0.6693
318,0.4861,0.4861,0.4861,0.7582,0.7582,0.7582,0.4563,0.4563,0.4563,0.6583,0.6583,0.6583
319,0.4898,0.4898,0.4898,0.6636,0.6636,0.6636,0.5046,0.5046,0.5046,0.6651,0.6651,0.6651
320,0.4495,0.4495,0.4495,0.6927,0.6927,0.6927,0.5585,0.5585,0.5585,0.6652,0.6652,0.6652
321,0.4353,0.4353,0.4353,0.6686,0.6686,0.6686,0.4415,0.4415,0.4415,0.6657,0.6657,0.6657
322,0.4379,0.4379,0.4379,0.6957,0.6957,0.6957,0.5467,0.5467,0.5467,0.6683,0.6683,0.6683
323,0.5349,0.5349,0.5349,0.7205,0.7205,0.7205,0.5372,0.5372,0.5372,0.6455,0.6455,0.6455
324,0.6082,0.6082,0.6082,0.7229,0.7229,0.7229,0.5691,0.5691,0.5691,0.6595,0.6595,0.6595
325,0.6239,0.6239,0.6239,0.7523,0.7523,0.7523,0.5911,0.5911,0.5911,0.6515,0.6515,0.6515
326,0.625,0.625,0.625,0.7696,0.7696,0.7696,0.4372,0.4372,0.4372,0.6536,0.6536,0.6536
327,0.5599,0.5599,0.5599,0.7687,0.7687,0.7687,0.5337,0.5337,0.5337,0.6613,0.6613,0.6613
328,0.6014,0.6014,0.6014,0.6836,0.6836,0.6836,0.4976,0.4976,0.4976,0.6808,0.6808,0.6808
329,0.5965,0.5965,0.5965,0.6954,0.6954,0.6954,0.6215,0.6215,0.6215,0.6751,0.6751,0.6751
330,0.4315,0.4315,0.4315,0.7818,0.7818,0.7818,0.5489,0.5489,0.5489,0.6647,0.6647,0.6647
331,0.5281,0.5281,0.5281,0.775,0.775,0.775,0.5051,0.5051,0.5051,0.6745,0.6745,0.6745
332,0.5258,0.5258,0.5258,0.7903,0.7903,0.7903,0.5389,0.5389,0.5389,0.6627,0.6627,0.6627
333,0.474,0.474,0.474,0.7524,0.7524,0.7524,0.4998,0.4998,0.4998,0.6316,0.6316,0.6316
334,0.4628,0.4628,0.4628,0.7757,0.7757,0.7757,0.6005,0.6005,0.6005,0.6673,0.6673,0.6673
335,0.4137,0.4137,0.4137,0.6639,0.6639,0.6639,0.4111,0.4111,0.4111,0.6565,0.6565,0.6565
336,0.2771,0.2771,0.2771,0.7806,0.7806,0.7806,0.4728,0.4728,0.4728,0.6608,0.6608,0.6608
337,0.5553,0.5553,0.5553,0.7791,0.7791,0.7791,0.4134,0.4134,0.4134,0.6684,0.6684,0.6684
338,0.6173,0.6173,0.6173,0.7662,0.7662,0.7662,0.4749,0.4749,0.4749,0.6593,0.6593,0.6593
339,0.4725,0.4725,0.4725,0.7253,0.7253,0.7253,0.4711,0.4711,0.4711,0.6457,0.6457,0.6457
340,0.5232,0.5232,0.5232,0.711,0.711,0.711,0.5719,0.5719,0.5719,0.6588,0.6588,0.6588
341,0.5814,0.5814,0.5814,0.713,0.713,0.713,0.4475,0.4475,0.4475,0.6632,0.6632,0.6632
342,0.4537,0.4537,0.4537,0.7847,0.7847,0.7847,0.559,0.559,0.559,0.6554,0.6554,0.6554
343,0.449,0.449,0.449,0.7396,0.7396,0.7396,0.5905,0.5905,0.5905,0.6604,0.6604,0.6604
344,0.4788,0.4788,0.4788,0.7962,0.7962,0.7962,0.5815,0.5815,0.5815,0.6453,0.6453,0.6453
345,0.5079,0.5079,0.5079,0.7458,0.7458,0.7458,0.5451,0.5451,0.5451,0.6572,0.6572,0.6572
346,0.4669,0.4669,0.4669,0.7887,0.7887,0.7887,0.4669,0.4669,0.4669,0.6679,0.6679,0.6679
347,0.4987,0.4987,0.4987,0.7512,0.7512,0.7512,0.5019,0.5019,0.5019,0.6658,0.6658,0.6658
348,0.4292,0.4292,0.4292,0.7494,0.7494,0.7494,0.525,0.525,0.525,0.6412,0.6412,0.6412
349,0.3844,0.3844,0.3844,0.7351,0.7351,0.7351,0.5171,0.5171,0.5171,0.6782,0.6782,0.6782
350,0.4458,0.4458,0.4458,0.742,0.742,0.742,0.4691,0.4691,0.4691,0.64,0.64,0.64
351,0.5576,0.5576,0.5576,0.7614,0.7614,0.7614,0.432,0.432,0.432,0.6771,0.6771,0.6771
352,0.5307,0.5307,0.5307,0.7751,0.7751,0.7751,0.3705,0.3705,0.3705,0.6681,0.6681,0.6681
353,0.5355,0.5355,0.5355,0.7302,0.7302,0.7302,0.4392,0.4392,0.4392,0.6451,0.6451,0.6451
354,0.5364,0.5364,0.5364,0.7301,0.7301,0.7301,0.473,0.473,0.473,0.6351,0.6351,0.6351
355,0.5749,0.5749,0.5749,0.745,0.745,0.745,0.4683,0.4683,0.4683,0.6467,0.6467,0.6467
356,0.438,0.438,0.438,0.7545,0.7545,0.7545,0.3804,0.3804,0.3804,0.6404,0.6404,0.6404
357,0.5207,0.5207,0.5207,0.7344,0.7344,0.7344,0.4182,0.4182,0.4182,0.6535,0.6535,0.6535
358,0.4123,0.4123,0.4123,0.7535,0.7535,0.7535,0.5469,0.5469,0.5469,0.6571,0.6571,0.6571
359,0.4719,0.4719,0.4719,0.7597,0.7597,0.7597,0.4608,0.4608,0.4608,0.6495,0.6495,0.6495
360,0.582,0.582,0.582,0.7753,0.7753,0.7753,0.5884,0.5884,0.5884,0.6615,0.6615,0.6615
361,0.499,0.499,0.499,0.7421,0.7421,0.7421,0.5074,0.5074,0.5074,0.6566,0.6566,0.6566
362,0.4837,0.4837,0.4837,0.6597,0.6597,0.6597,0.5073,0.5073,0.5073,0.6376,0.6376,0.6376
363,0.3915,0.3915,0.3915,0.7447,0.7447,0.7447,0.4427,0.4427,0.4427,0.6339,0.6339,0.6339
364,0.5247,0.5247,0.5247,0.751,0.751,0.751,0.5048,0.5048,0.5048,0.658,0.658,0.658
365,0.5112,0.5112,0.5112,0.7715,0.7715,0.7715,0.5063,0.5063,0.5063,0.6574,0.6574,0.6574
366,0.5574,0.5574,0.5574,0.7581,0.7581,0.7581,0.5106,0.5106,0.5106,0.6475,0.6475,0.6475
367,0.5762,0.5762,0.5762,0.7954,0.7954,0.7954,0.4436,0.4436,0.4436,0.6297,0.6297,0.6297
368,0.6193,0.6193,0.6193,0.757,0.757,0.757,0.4787,0.4787,0.4787,0.6438,0.6438,0.6438
369,0.5503,0.5503,0.5503,0.7641,0.7641,0.7641,0.5517,0.5517,0.5517,0.6545,0.6545,0.6545
370,0.4766,0.4766,0.4766,0.7662,0.7662,0.7662,0.512,0.512,0.512,0.6367,0.6367,0.6367
371,0.4555,0.4555,0.4555,0.7721,0.7721,0.7721,0.4614,0.4614,0.4614,0.6338,0.6338,0.6338
372,0.4946,0.4946,0.4946,0.7866,0.7866,0.7866,0.5453,0.5453,0.5453,0.6527,0.6527,0.6527
373,0.5484,0.5484,0.5484,0.7311,0.7311,0.7311,0.4697,0.4697,0.4697,0.6552,0.6552,0.6552
374,0.5663,0.5663,0.5663,0.7337,0.7337,0.7337,0.4992,0.4992,0.4992,0.6727,0.6727,0.6727
375,0.6139,0.6139,0.6139,0.7857,0.7857,0.7857,0.4863,0.4863,0.4863,0.6405,0.6405,0.6405
376,0.5288,0.5288,0.5288,0.7561,0.7561,0.7561,0.4823,0.4823,0.4823,0.652,0.652,0.652
377,0.5831,0.5831,0.5831,0.7694,0.7694,0.7694,0.557,0.557,0.557,0.6217,0.6217,0.6217
378,0.4114,0.4114,0.4114,0.6871,0.6871,0.6871,0.5282,0.5282,0.5282,0.6358,0.6358,0.6358
379,0.519,0.519,0.519,0.7317,0.7317,0.7317,0.5411,0.5411,0.5411,0.6365,0.6365,0.6365
380,0.5208,0.5208,0.5208,0.7524,0.7524,0.7524,0.6143,0.6143,0.6143,0.668,0.668,0.668
381,0.4413,0.4413,0.4413,0.7803,0.7803,0.7803,0.5963,0.5963,0.5963,0.6496,0.6496,0.6496
382,0.4816,0.4816,0.4816,0.7131,0.7131,0.7131,0.5695,0.5695,0.5695,0.6718,0.6718,0.6718
383,0.4806,0.4806,0.4806,0.7685,0.7685,0.7685,0.4898,0.4898,0.4898,0.6601,0.6601,0.6601
384,0.4799,0.4799,0.4799,0.764,0.764,0.764,0.5476,0.5476,0.5476,0.6454,0.6454,0.6454
385,0.454,0.454,0.454,0.779,0.779,0.779,0.5313,0.5313,0.5313,0.6684,0.6684,0.6684
386,0.4999,0.4999,0.4999,0.746,0.746,0.746,0.4998,0.4998,0.4998,0.6402,0.6402,0.6402
387,0.5857,0.5857,0.5857,0.7833,0.7833,0.7833,0.3481,0.3481,0.3481,0.628,0.628,0.628
388,0.5605,0.5605,0.5605,0.7817,0.7817,0.7817,0.5522,0.5522,0.5522,0.663,0.663,0.663
389,0.5151,0.5151,0.5151,0.7297,0.7297,0.7297,0.5396,0.5396,0.5396,0.6091,0.6091,0.6091
390,0.4228,0.4228,0.4228,0.7833,0.7833,0.7833,0.5604,0.5604,0.5604,0.6442,0.6442,0.6442
391,0.4995,0.4995,0.4995,0.7723,0.7723,0.7723,0.5686,0.5686,0.5686,0.642,0.642,0.642
392,0.59,0.59,0.59,0.7044,0.7044,0.7044,0.4362,0.4362,0.4362,0.6409,0.6409,0.6409
393,0.5232,0.5232,0.5232,0.7862,0.7862,0.7862,0.5188,0.5188,0.5188,0.6319,0.6319,0.6319
394,0.4044,0.4044,0.4044,0.7831,0.7831,0.7831,0.5344,0.5344,0.5344,0.6514,0.6514,0.6514
395,0.4186,0.4186,0.4186,0.7797,0.7797,0.7797,0.545,0.545,0.545,0.6243,0.6243,0.6243
396,0.4351,0.4351,0.4351,0.741,0.741,0.741,0.5247,0.5247,0.5247,0.6658,0.6658,0.6658
397,0.4461,0.4461,0.4461,0.7605,0.7605,0.7605,0.5362,0.5362,0.5362,0.6454,0.6454,0.6454
398,0.5657,0.5657,0.5657,0.7325,0.7325,0.7325,0.5374,0.5374,0.5374,0.6634,0.6634,0.6634
399,0.4792,0.4792,0.4792,0.7712,0.7712,0.7712,0.5476,0.5476,0.5476,0.6571,0.6571,0.6571
400,0.4667,0.4667,0.4667,0.7661,0.7661,0.7661,0.5541,0.5541,0.5541,0.655,0.655,0.655
401,0.4496,0.4496,0.4496,0.7174,0.7174,0.7174,0.5512,0.5512,0.5512,0.6316,0.6316,0.6316
402,0.5199,0.5199,0.5199,0.7629,0.7629,0.7629,0.3757,0.3757,0.3757,0.6179,0.6179,0.6179
403,0.5412,0.5412,0.5412,0.7521,0.7521,0.7521,0.5721,0.5721,0.5721,0.6404,0.6404,0.6404
404,0.4697,0.4697,0.4697,0.7599,0.7599,0.7599,0.5349,0.5349,0.5349,0.6149,0.6149,0.6149
405,0.4551,0.4551,0.4551,0.7849,0.7849,0.7849,0.5181,0.5181,0.5181,0.6366,0.6366,0.6366
406,0.5434,0.5434,0.5434,0.7823,0.7823,0.7823,0.4783,0.4783,0.4783,0.6195,0.6195,0.6195
407,0.4795,0.4795,0.4795,0.6402,0.6402,0.6402,0.6059,0.6059,0.6059,0.6317,0.6317,0.6317
408,0.5371,0.5371,0.5371,0.7882,0.7882,0.7882,0.4727,0.4727,0.4727,0.6272,0.6272,0.6272
409,0.4369,0.4369,0.4369,0.7415,0.7415,0.7415,0.4163,0.4163,0.4163,0.6436,0.6436,0.6436
410,0.4778,0.4778,0.4778,0.7742,0.7742,0.7742,0.4391,0.4391,0.4391,0.6406,0.6406,0.6406
411,0.4536,0.4536,0.4536,0.7688,0.7688,0.7688,0.3468,0.3468,0.3468,0.6287,0.6287,0.6287
412,0.4361,0.4361,0.4361,0.7505,0.7505,0.7505,0.4214,0.4214,0.4214,0.6362,0.6362,0.6362
413,0.47,0.47,0.47,0.7579,0.7579,0.7579,0.6301,0.6301,0.6301,0.6475,0.6475,0.6475
414,0.4794,0.4794,0.4794,0.7517,0.7517,0.7517,0.5062,0.5062,0.5062,0.636,0.636,0.636
415,0.474,0.474,0.474,0.7653,0.7653,0.7653,0.5101,0.5101,0.5101,0.6608,0.6608,0.6608
416,0.5196,0.5196,0.5196,0.7614,0.7614,0.7614,0.5824,0.5824,0.5824,0.6454,0.6454,0.6454
417,0.5956,0.5956,0.5956,0.7533,0.7533,0.7533,0.5295,0.5295,0.5295,0.6188,0.6188,0.6188
418,0.4914,0.4914,0.4914,0.791,0.791,0.791,0.4198,0.4198,0.4198,0.6301,0.6301,0.6301
419,0.5412,0.5412,0.5412,0.7863,0.7863,0.7863,0.4536,0.4536,0.4536,0.6279,0.6279,0.6279
420,0.6184,0.6184,0.6184,0.6924,0.6924,0.6924,0.3968,0.3968,0.3968,0.6168,0.6168,0.6168
421,0.375,0.375,0.375,0.7331,0.7331,0.7331,0.5013,0.5013,0.5013,0.6282,0.6282,0.6282
422,0.5067,0.5067,0.5067,0.7524,0.7524,0.7524,0.4998,0.4998,0.4998,0.6258,0.6258,0.6258
423,0.4372,0.4372,0.4372,0.7861,0.7861,0.7861,0.3826,0.3826,0.3826,0.6141,0.6141,0.6141
424,0.5397,0.5397,0.5397,0.7814,0.7814,0.7814,0.4277,0.4277,0.4277,0.623,0.623,0.623
425,0.4083,0.4083,0.4083,0.7626,0.7626,0.7626,0.4737,0.4737,0.4737,0.6326,0.6326,0.6326
426,0.36,0.36,0.36,0.7679,0.7679,0.7679,0.6181,0.6181,0.6181,0.6151,0.6151,0.6151
427,0.5025,0.5025,0.5025,0.748,0.748,0.748,0.466,0.466,0.466,0.6107,0.6107,0.6107
428,0.4727,0.4727,0.4727,0.782,0.782,0.782,0.4154,0.4154,0.4154,0.6372,0.6372,0.6372
429,0.4334,0.4334,0.4334,0.7612,0.7612,0.7612,0.4711,0.4711,0.4711,0.6408,0.6408,0.6408
430,0.3976,0.3976,0.3976,0.7389,0.7389,0.7389,0.3745,0.3745,0.3745,0.6265,0.6265,0.6265
431,0.4246,0.4246,0.4246,0.7857,0.7857,0.7857,0.42,0.42,0.42,0.6334,0.6334,0.6334
432,0.5383,0.5383,0.5383,0.7742,0.7742,0.7742,0.5306,0.5306,0.5306,0.6415,0.6415,0.6415
433,0.5978,0.5978,0.5978,0.7204,0.7204,0.7204,0.5109,0.5109,0.5109,0.6508,0.6508,0.6508
434,0.4201,0.4201,0.4201,0.7616,0.7616,0.7616,0.4448,0.4448,0.4448,0.6224,0.6224,0.6224
435,0.4943,0.4943,0.4943,0.758,0.758,0.758,0.4854,0.4854,0.4854,0.6545,0.6545,0.6545
436,0.5665,0.5665,0.5665,0.7278,0.7278,0.7278,0.4227,0.4227,0.4227,0.632,0.632,0.632
437,0.4627,0.4627,0.4627,0.7922,0.7922,0.7922,0.3378,0.3378,0.3378,0.6591,0.6591,0.6591
