Step,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
204,0.7107,0.7107,0.7107,0.5625,0.5625,0.5625,0.6942,0.6942,0.6942,0.5377,0.5377,0.5377
205,0.6849,0.6849,0.6849,0.6257,0.6257,0.6257,0.6313,0.6313,0.6313,0.6176,0.6176,0.6176
206,0.7374,0.7374,0.7374,0.5278,0.5278,0.5278,0.5961,0.5961,0.5961,0.6137,0.6137,0.6137
207,0.7236,0.7236,0.7236,0.6133,0.6133,0.6133,0.622,0.622,0.622,0.6211,0.6211,0.6211
208,0.7098,0.7098,0.7098,0.4971,0.4971,0.4971,0.6083,0.6083,0.6083,0.57,0.57,0.57
209,0.7709,0.7709,0.7709,0.5882,0.5882,0.5882,0.7229,0.7229,0.7229,0.6052,0.6052,0.6052
210,0.7424,0.7424,0.7424,0.6547,0.6547,0.6547,0.6925,0.6925,0.6925,0.5498,0.5498,0.5498
211,0.6675,0.6675,0.6675,0.6085,0.6085,0.6085,0.6754,0.6754,0.6754,0.576,0.576,0.576
212,0.7153,0.7153,0.7153,0.6299,0.6299,0.6299,0.6356,0.6356,0.6356,0.5886,0.5886,0.5886
213,0.674,0.674,0.674,0.6372,0.6372,0.6372,0.6626,0.6626,0.6626,0.5351,0.5351,0.5351
214,0.6781,0.6781,0.6781,0.6397,0.6397,0.6397,0.6742,0.6742,0.6742,0.5109,0.5109,0.5109
215,0.6397,0.6397,0.6397,0.5647,0.5647,0.5647,0.6498,0.6498,0.6498,0.568,0.568,0.568
216,0.6902,0.6902,0.6902,0.5945,0.5945,0.5945,0.6951,0.6951,0.6951,0.5821,0.5821,0.5821
217,0.6678,0.6678,0.6678,0.6007,0.6007,0.6007,0.659,0.659,0.659,0.6162,0.6162,0.6162
218,0.6811,0.6811,0.6811,0.639,0.639,0.639,0.6657,0.6657,0.6657,0.6006,0.6006,0.6006
219,0.5976,0.5976,0.5976,0.647,0.647,0.647,0.7024,0.7024,0.7024,0.6387,0.6387,0.6387
220,0.5843,0.5843,0.5843,0.5467,0.5467,0.5467,0.6744,0.6744,0.6744,0.4461,0.4461,0.4461
221,0.7092,0.7092,0.7092,0.6676,0.6676,0.6676,0.6565,0.6565,0.6565,0.6044,0.6044,0.6044
222,0.6724,0.6724,0.6724,0.4311,0.4311,0.4311,0.6439,0.6439,0.6439,0.5614,0.5614,0.5614
223,0.6657,0.6657,0.6657,0.5662,0.5662,0.5662,0.6569,0.6569,0.6569,0.5142,0.5142,0.5142
224,0.7563,0.7563,0.7563,0.5203,0.5203,0.5203,0.6643,0.6643,0.6643,0.6277,0.6277,0.6277
225,0.7313,0.7313,0.7313,0.5994,0.5994,0.5994,0.6679,0.6679,0.6679,0.6317,0.6317,0.6317
226,0.7752,0.7752,0.7752,0.483,0.483,0.483,0.671,0.671,0.671,0.569,0.569,0.569
227,0.748,0.748,0.748,0.6224,0.6224,0.6224,0.6683,0.6683,0.6683,0.5685,0.5685,0.5685
228,0.7754,0.7754,0.7754,0.6309,0.6309,0.6309,0.7091,0.7091,0.7091,0.4664,0.4664,0.4664
229,0.765,0.765,0.765,0.4649,0.4649,0.4649,0.7241,0.7241,0.7241,0.5731,0.5731,0.5731
230,0.7675,0.7675,0.7675,0.6203,0.6203,0.6203,0.6564,0.6564,0.6564,0.5489,0.5489,0.5489
231,0.7248,0.7248,0.7248,0.5483,0.5483,0.5483,0.6489,0.6489,0.6489,0.5895,0.5895,0.5895
232,0.7368,0.7368,0.7368,0.5347,0.5347,0.5347,0.6603,0.6603,0.6603,0.5256,0.5256,0.5256
233,0.7241,0.7241,0.7241,0.6346,0.6346,0.6346,0.6373,0.6373,0.6373,0.6033,0.6033,0.6033
234,0.6489,0.6489,0.6489,0.5903,0.5903,0.5903,0.5875,0.5875,0.5875,0.6146,0.6146,0.6146
235,0.69,0.69,0.69,0.6052,0.6052,0.6052,0.62,0.62,0.62,0.5785,0.5785,0.5785
236,0.688,0.688,0.688,0.6175,0.6175,0.6175,0.6443,0.6443,0.6443,0.5729,0.5729,0.5729
237,0.6624,0.6624,0.6624,0.5554,0.5554,0.5554,0.6577,0.6577,0.6577,0.6505,0.6505,0.6505
238,0.7208,0.7208,0.7208,0.4697,0.4697,0.4697,0.6154,0.6154,0.6154,0.5284,0.5284,0.5284
239,0.7236,0.7236,0.7236,0.4697,0.4697,0.4697,0.6016,0.6016,0.6016,0.582,0.582,0.582
240,0.71,0.71,0.71,0.543,0.543,0.543,0.637,0.637,0.637,0.6148,0.6148,0.6148
241,0.7427,0.7427,0.7427,0.6145,0.6145,0.6145,0.6188,0.6188,0.6188,0.6138,0.6138,0.6138
242,0.7374,0.7374,0.7374,0.5094,0.5094,0.5094,0.6302,0.6302,0.6302,0.6001,0.6001,0.6001
243,0.7584,0.7584,0.7584,0.4659,0.4659,0.4659,0.5797,0.5797,0.5797,0.5903,0.5903,0.5903
244,0.7136,0.7136,0.7136,0.5745,0.5745,0.5745,0.6395,0.6395,0.6395,0.5971,0.5971,0.5971
245,0.6512,0.6512,0.6512,0.4699,0.4699,0.4699,0.6582,0.6582,0.6582,0.5633,0.5633,0.5633
246,0.7324,0.7324,0.7324,0.5934,0.5934,0.5934,0.6008,0.6008,0.6008,0.5854,0.5854,0.5854
247,0.6914,0.6914,0.6914,0.6081,0.6081,0.6081,0.6108,0.6108,0.6108,0.562,0.562,0.562
248,0.6898,0.6898,0.6898,0.6443,0.6443,0.6443,0.6039,0.6039,0.6039,0.4823,0.4823,0.4823
249,0.7411,0.7411,0.7411,0.4903,0.4903,0.4903,0.6814,0.6814,0.6814,0.5575,0.5575,0.5575
250,0.7373,0.7373,0.7373,0.6815,0.6815,0.6815,0.715,0.715,0.715,0.5504,0.5504,0.5504
251,0.7674,0.7674,0.7674,0.5296,0.5296,0.5296,0.6383,0.6383,0.6383,0.43,0.43,0.43
252,0.7389,0.7389,0.7389,0.501,0.501,0.501,0.664,0.664,0.664,0.5638,0.5638,0.5638
253,0.6619,0.6619,0.6619,0.5383,0.5383,0.5383,0.6669,0.6669,0.6669,0.6037,0.6037,0.6037
254,0.7243,0.7243,0.7243,0.6794,0.6794,0.6794,0.6148,0.6148,0.6148,0.5639,0.5639,0.5639
255,0.7031,0.7031,0.7031,0.6136,0.6136,0.6136,0.6627,0.6627,0.6627,0.5593,0.5593,0.5593
256,0.7237,0.7237,0.7237,0.5338,0.5338,0.5338,0.6672,0.6672,0.6672,0.4759,0.4759,0.4759
257,0.6978,0.6978,0.6978,0.5011,0.5011,0.5011,0.6197,0.6197,0.6197,0.5617,0.5617,0.5617
258,0.7727,0.7727,0.7727,0.6043,0.6043,0.6043,0.614,0.614,0.614,0.5743,0.5743,0.5743
259,0.76,0.76,0.76,0.4973,0.4973,0.4973,0.7144,0.7144,0.7144,0.6515,0.6515,0.6515
260,0.7374,0.7374,0.7374,0.5256,0.5256,0.5256,0.7023,0.7023,0.7023,0.6382,0.6382,0.6382
261,0.7333,0.7333,0.7333,0.5316,0.5316,0.5316,0.644,0.644,0.644,0.6023,0.6023,0.6023
262,0.7002,0.7002,0.7002,0.4538,0.4538,0.4538,0.6677,0.6677,0.6677,0.5999,0.5999,0.5999
263,0.705,0.705,0.705,0.5057,0.5057,0.5057,0.6489,0.6489,0.6489,0.5197,0.5197,0.5197
264,0.7269,0.7269,0.7269,0.5119,0.5119,0.5119,0.6319,0.6319,0.6319,0.5962,0.5962,0.5962
265,0.7313,0.7313,0.7313,0.6446,0.6446,0.6446,0.6771,0.6771,0.6771,0.6248,0.6248,0.6248
266,0.7271,0.7271,0.7271,0.5919,0.5919,0.5919,0.6535,0.6535,0.6535,0.5812,0.5812,0.5812
267,0.7126,0.7126,0.7126,0.6436,0.6436,0.6436,0.6945,0.6945,0.6945,0.4876,0.4876,0.4876
268,0.7613,0.7613,0.7613,0.5638,0.5638,0.5638,0.6424,0.6424,0.6424,0.5806,0.5806,0.5806
269,0.7256,0.7256,0.7256,0.5035,0.5035,0.5035,0.6231,0.6231,0.6231,0.5821,0.5821,0.5821
270,0.7459,0.7459,0.7459,0.5562,0.5562,0.5562,0.6132,0.6132,0.6132,0.5916,0.5916,0.5916
271,0.7081,0.7081,0.7081,0.581,0.581,0.581,0.6465,0.6465,0.6465,0.5366,0.5366,0.5366
272,0.7274,0.7274,0.7274,0.5971,0.5971,0.5971,0.6886,0.6886,0.6886,0.4996,0.4996,0.4996
273,0.7336,0.7336,0.7336,0.5592,0.5592,0.5592,0.6254,0.6254,0.6254,0.5918,0.5918,0.5918
274,0.7289,0.7289,0.7289,0.5016,0.5016,0.5016,0.6807,0.6807,0.6807,0.564,0.564,0.564
275,0.746,0.746,0.746,0.6199,0.6199,0.6199,0.6809,0.6809,0.6809,0.6414,0.6414,0.6414
276,0.7335,0.7335,0.7335,0.6567,0.6567,0.6567,0.6366,0.6366,0.6366,0.5973,0.5973,0.5973
277,0.725,0.725,0.725,0.6869,0.6869,0.6869,0.6391,0.6391,0.6391,0.623,0.623,0.623
278,0.7078,0.7078,0.7078,0.599,0.599,0.599,0.6648,0.6648,0.6648,0.6061,0.6061,0.6061
279,0.6533,0.6533,0.6533,0.5165,0.5165,0.5165,0.6527,0.6527,0.6527,0.6254,0.6254,0.6254
280,0.7654,0.7654,0.7654,0.6271,0.6271,0.6271,0.6323,0.6323,0.6323,0.6207,0.6207,0.6207
281,0.7311,0.7311,0.7311,0.5647,0.5647,0.5647,0.6903,0.6903,0.6903,0.5461,0.5461,0.5461
282,0.7578,0.7578,0.7578,0.6296,0.6296,0.6296,0.6643,0.6643,0.6643,0.5933,0.5933,0.5933
283,0.7445,0.7445,0.7445,0.6115,0.6115,0.6115,0.6666,0.6666,0.6666,0.5633,0.5633,0.5633
284,0.7442,0.7442,0.7442,0.5743,0.5743,0.5743,0.6622,0.6622,0.6622,0.4605,0.4605,0.4605
285,0.7615,0.7615,0.7615,0.61,0.61,0.61,0.6651,0.6651,0.6651,0.5927,0.5927,0.5927
286,0.7501,0.7501,0.7501,0.6493,0.6493,0.6493,0.6553,0.6553,0.6553,0.5167,0.5167,0.5167
287,0.7144,0.7144,0.7144,0.5071,0.5071,0.5071,0.6628,0.6628,0.6628,0.5512,0.5512,0.5512
288,0.7834,0.7834,0.7834,0.5889,0.5889,0.5889,0.6876,0.6876,0.6876,0.5752,0.5752,0.5752
289,0.7732,0.7732,0.7732,0.5615,0.5615,0.5615,0.6327,0.6327,0.6327,0.5881,0.5881,0.5881
290,0.7627,0.7627,0.7627,0.6808,0.6808,0.6808,0.7009,0.7009,0.7009,0.6069,0.6069,0.6069
291,0.7771,0.7771,0.7771,0.5697,0.5697,0.5697,0.6472,0.6472,0.6472,0.6315,0.6315,0.6315
292,0.7696,0.7696,0.7696,0.642,0.642,0.642,0.7071,0.7071,0.7071,0.6319,0.6319,0.6319
293,0.7671,0.7671,0.7671,0.5666,0.5666,0.5666,0.699,0.699,0.699,0.5371,0.5371,0.5371
294,0.6545,0.6545,0.6545,0.6092,0.6092,0.6092,0.6448,0.6448,0.6448,0.5727,0.5727,0.5727
295,0.7216,0.7216,0.7216,0.5771,0.5771,0.5771,0.6785,0.6785,0.6785,0.6431,0.6431,0.6431
296,0.6957,0.6957,0.6957,0.6391,0.6391,0.6391,0.6656,0.6656,0.6656,0.5845,0.5845,0.5845
297,0.7463,0.7463,0.7463,0.5542,0.5542,0.5542,0.6002,0.6002,0.6002,0.5879,0.5879,0.5879
298,0.7654,0.7654,0.7654,0.5451,0.5451,0.5451,0.69,0.69,0.69,0.5253,0.5253,0.5253
299,0.761,0.761,0.761,0.6549,0.6549,0.6549,0.6816,0.6816,0.6816,0.535,0.535,0.535
300,0.706,0.706,0.706,0.6111,0.6111,0.6111,0.6651,0.6651,0.6651,0.621,0.621,0.621
301,0.6989,0.6989,0.6989,0.4501,0.4501,0.4501,0.6951,0.6951,0.6951,0.5557,0.5557,0.5557
302,0.716,0.716,0.716,0.6294,0.6294,0.6294,0.687,0.687,0.687,0.615,0.615,0.615
303,0.7337,0.7337,0.7337,0.5886,0.5886,0.5886,0.7102,0.7102,0.7102,0.4989,0.4989,0.4989
304,0.7158,0.7158,0.7158,0.6412,0.6412,0.6412,0.6651,0.6651,0.6651,0.505,0.505,0.505
305,0.7415,0.7415,0.7415,0.5373,0.5373,0.5373,0.6921,0.6921,0.6921,0.6356,0.6356,0.6356
306,0.6949,0.6949,0.6949,0.5464,0.5464,0.5464,0.7272,0.7272,0.7272,0.6207,0.6207,0.6207
307,0.7013,0.7013,0.7013,0.5821,0.5821,0.5821,0.6674,0.6674,0.6674,0.6703,0.6703,0.6703
308,0.6898,0.6898,0.6898,0.6486,0.6486,0.6486,0.6741,0.6741,0.6741,0.6461,0.6461,0.6461
309,0.7454,0.7454,0.7454,0.6405,0.6405,0.6405,0.6851,0.6851,0.6851,0.6096,0.6096,0.6096
310,0.7323,0.7323,0.7323,0.5736,0.5736,0.5736,0.6736,0.6736,0.6736,0.5605,0.5605,0.5605
311,0.7589,0.7589,0.7589,0.5735,0.5735,0.5735,0.6808,0.6808,0.6808,0.6158,0.6158,0.6158
312,0.7328,0.7328,0.7328,0.5662,0.5662,0.5662,0.7114,0.7114,0.7114,0.5487,0.5487,0.5487
313,0.7139,0.7139,0.7139,0.5401,0.5401,0.5401,0.6876,0.6876,0.6876,0.6134,0.6134,0.6134
314,0.6854,0.6854,0.6854,0.602,0.602,0.602,0.6628,0.6628,0.6628,0.5411,0.5411,0.5411
315,0.6913,0.6913,0.6913,0.4562,0.4562,0.4562,0.6767,0.6767,0.6767,0.5764,0.5764,0.5764
316,0.6798,0.6798,0.6798,0.5918,0.5918,0.5918,0.729,0.729,0.729,0.5556,0.5556,0.5556
317,0.7225,0.7225,0.7225,0.5278,0.5278,0.5278,0.7317,0.7317,0.7317,0.5031,0.5031,0.5031
318,0.7154,0.7154,0.7154,0.5988,0.5988,0.5988,0.6917,0.6917,0.6917,0.4944,0.4944,0.4944
319,0.7179,0.7179,0.7179,0.5447,0.5447,0.5447,0.6955,0.6955,0.6955,0.5928,0.5928,0.5928
320,0.7074,0.7074,0.7074,0.5525,0.5525,0.5525,0.7207,0.7207,0.7207,0.4418,0.4418,0.4418
321,0.7007,0.7007,0.7007,0.5133,0.5133,0.5133,0.699,0.699,0.699,0.5389,0.5389,0.5389
322,0.7066,0.7066,0.7066,0.664,0.664,0.664,0.7005,0.7005,0.7005,0.5492,0.5492,0.5492
323,0.6971,0.6971,0.6971,0.5332,0.5332,0.5332,0.6817,0.6817,0.6817,0.6565,0.6565,0.6565
324,0.7003,0.7003,0.7003,0.585,0.585,0.585,0.651,0.651,0.651,0.5881,0.5881,0.5881
325,0.6707,0.6707,0.6707,0.6334,0.6334,0.6334,0.6768,0.6768,0.6768,0.6416,0.6416,0.6416
326,0.7055,0.7055,0.7055,0.5492,0.5492,0.5492,0.5548,0.5548,0.5548,0.6076,0.6076,0.6076
327,0.7347,0.7347,0.7347,0.6337,0.6337,0.6337,0.5672,0.5672,0.5672,0.4104,0.4104,0.4104
328,0.7449,0.7449,0.7449,0.5379,0.5379,0.5379,0.6947,0.6947,0.6947,0.5815,0.5815,0.5815
329,0.7491,0.7491,0.7491,0.603,0.603,0.603,0.6824,0.6824,0.6824,0.5722,0.5722,0.5722
330,0.751,0.751,0.751,0.6061,0.6061,0.6061,0.6913,0.6913,0.6913,0.5547,0.5547,0.5547
331,0.7511,0.7511,0.7511,0.6308,0.6308,0.6308,0.6889,0.6889,0.6889,0.5844,0.5844,0.5844
332,0.7523,0.7523,0.7523,0.6456,0.6456,0.6456,0.6143,0.6143,0.6143,0.61,0.61,0.61
333,0.7523,0.7523,0.7523,0.6621,0.6621,0.6621,0.6584,0.6584,0.6584,0.5708,0.5708,0.5708
334,0.7521,0.7521,0.7521,0.5519,0.5519,0.5519,0.6619,0.6619,0.6619,0.6121,0.6121,0.6121
335,0.6758,0.6758,0.6758,0.6498,0.6498,0.6498,0.6974,0.6974,0.6974,0.5444,0.5444,0.5444
336,0.7393,0.7393,0.7393,0.6202,0.6202,0.6202,0.696,0.696,0.696,0.5997,0.5997,0.5997
337,0.7184,0.7184,0.7184,0.5404,0.5404,0.5404,0.5731,0.5731,0.5731,0.5612,0.5612,0.5612
338,0.7303,0.7303,0.7303,0.6397,0.6397,0.6397,0.6813,0.6813,0.6813,0.555,0.555,0.555
339,0.7009,0.7009,0.7009,0.6211,0.6211,0.6211,0.6773,0.6773,0.6773,0.5721,0.5721,0.5721
340,0.7475,0.7475,0.7475,0.54,0.54,0.54,0.6795,0.6795,0.6795,0.4969,0.4969,0.4969
341,0.7127,0.7127,0.7127,0.6265,0.6265,0.6265,0.6483,0.6483,0.6483,0.5949,0.5949,0.5949
342,0.7763,0.7763,0.7763,0.5857,0.5857,0.5857,0.5972,0.5972,0.5972,0.6243,0.6243,0.6243
343,0.7664,0.7664,0.7664,0.6573,0.6573,0.6573,0.6934,0.6934,0.6934,0.596,0.596,0.596
344,0.725,0.725,0.725,0.5475,0.5475,0.5475,0.6502,0.6502,0.6502,0.6601,0.6601,0.6601
345,0.7222,0.7222,0.7222,0.6676,0.6676,0.6676,0.6592,0.6592,0.6592,0.5872,0.5872,0.5872
346,0.7076,0.7076,0.7076,0.6565,0.6565,0.6565,0.67,0.67,0.67,0.6107,0.6107,0.6107
347,0.7093,0.7093,0.7093,0.5412,0.5412,0.5412,0.7095,0.7095,0.7095,0.5526,0.5526,0.5526
348,0.6225,0.6225,0.6225,0.6039,0.6039,0.6039,0.6433,0.6433,0.6433,0.5201,0.5201,0.5201
349,0.7163,0.7163,0.7163,0.6307,0.6307,0.6307,0.6409,0.6409,0.6409,0.6866,0.6866,0.6866
350,0.7437,0.7437,0.7437,0.5497,0.5497,0.5497,0.6015,0.6015,0.6015,0.5573,0.5573,0.5573
351,0.741,0.741,0.741,0.5836,0.5836,0.5836,0.7105,0.7105,0.7105,0.5505,0.5505,0.5505
352,0.7492,0.7492,0.7492,0.5975,0.5975,0.5975,0.6516,0.6516,0.6516,0.5462,0.5462,0.5462
353,0.7329,0.7329,0.7329,0.6329,0.6329,0.6329,0.6422,0.6422,0.6422,0.6365,0.6365,0.6365
354,0.6862,0.6862,0.6862,0.6121,0.6121,0.6121,0.6658,0.6658,0.6658,0.6129,0.6129,0.6129
355,0.6956,0.6956,0.6956,0.5924,0.5924,0.5924,0.6616,0.6616,0.6616,0.5585,0.5585,0.5585
356,0.6826,0.6826,0.6826,0.5165,0.5165,0.5165,0.6991,0.6991,0.6991,0.5864,0.5864,0.5864
357,0.7128,0.7128,0.7128,0.5357,0.5357,0.5357,0.6866,0.6866,0.6866,0.5209,0.5209,0.5209
358,0.6876,0.6876,0.6876,0.5421,0.5421,0.5421,0.7203,0.7203,0.7203,0.5942,0.5942,0.5942
359,0.6124,0.6124,0.6124,0.566,0.566,0.566,0.6971,0.6971,0.6971,0.5648,0.5648,0.5648
360,0.7031,0.7031,0.7031,0.5287,0.5287,0.5287,0.7104,0.7104,0.7104,0.5126,0.5126,0.5126
361,0.7351,0.7351,0.7351,0.6303,0.6303,0.6303,0.6334,0.6334,0.6334,0.4771,0.4771,0.4771
362,0.7333,0.7333,0.7333,0.5973,0.5973,0.5973,0.6125,0.6125,0.6125,0.5396,0.5396,0.5396
363,0.7545,0.7545,0.7545,0.6246,0.6246,0.6246,0.6489,0.6489,0.6489,0.5522,0.5522,0.5522
364,0.7303,0.7303,0.7303,0.6145,0.6145,0.6145,0.665,0.665,0.665,0.5967,0.5967,0.5967
365,0.7281,0.7281,0.7281,0.6065,0.6065,0.6065,0.6929,0.6929,0.6929,0.4881,0.4881,0.4881
366,0.7324,0.7324,0.7324,0.5837,0.5837,0.5837,0.6489,0.6489,0.6489,0.5366,0.5366,0.5366
367,0.7297,0.7297,0.7297,0.5716,0.5716,0.5716,0.6101,0.6101,0.6101,0.6347,0.6347,0.6347
368,0.7722,0.7722,0.7722,0.6445,0.6445,0.6445,0.6531,0.6531,0.6531,0.5251,0.5251,0.5251
369,0.7016,0.7016,0.7016,0.6087,0.6087,0.6087,0.6449,0.6449,0.6449,0.5258,0.5258,0.5258
370,0.7809,0.7809,0.7809,0.6247,0.6247,0.6247,0.6402,0.6402,0.6402,0.5282,0.5282,0.5282
371,0.7805,0.7805,0.7805,0.5806,0.5806,0.5806,0.6582,0.6582,0.6582,0.6191,0.6191,0.6191
372,0.7275,0.7275,0.7275,0.583,0.583,0.583,0.6186,0.6186,0.6186,0.6632,0.6632,0.6632
373,0.7205,0.7205,0.7205,0.5214,0.5214,0.5214,0.6404,0.6404,0.6404,0.6317,0.6317,0.6317
374,0.7549,0.7549,0.7549,0.6507,0.6507,0.6507,0.6838,0.6838,0.6838,0.5248,0.5248,0.5248
375,0.7465,0.7465,0.7465,0.6693,0.6693,0.6693,0.6817,0.6817,0.6817,0.5277,0.5277,0.5277
376,0.7924,0.7924,0.7924,0.631,0.631,0.631,0.5879,0.5879,0.5879,0.578,0.578,0.578
377,0.7194,0.7194,0.7194,0.433,0.433,0.433,0.5714,0.5714,0.5714,0.532,0.532,0.532
378,0.7959,0.7959,0.7959,0.4832,0.4832,0.4832,0.637,0.637,0.637,0.6442,0.6442,0.6442
379,0.7829,0.7829,0.7829,0.5915,0.5915,0.5915,0.6539,0.6539,0.6539,0.6283,0.6283,0.6283
380,0.7605,0.7605,0.7605,0.6354,0.6354,0.6354,0.6701,0.6701,0.6701,0.6877,0.6877,0.6877
381,0.6714,0.6714,0.6714,0.6002,0.6002,0.6002,0.6979,0.6979,0.6979,0.6122,0.6122,0.6122
382,0.6892,0.6892,0.6892,0.6345,0.6345,0.6345,0.6327,0.6327,0.6327,0.6235,0.6235,0.6235
383,0.6574,0.6574,0.6574,0.6028,0.6028,0.6028,0.6455,0.6455,0.6455,0.454,0.454,0.454
384,0.6869,0.6869,0.6869,0.6249,0.6249,0.6249,0.6754,0.6754,0.6754,0.6273,0.6273,0.6273
385,0.6978,0.6978,0.6978,0.6289,0.6289,0.6289,0.6182,0.6182,0.6182,0.5141,0.5141,0.5141
386,0.7012,0.7012,0.7012,0.5326,0.5326,0.5326,0.6389,0.6389,0.6389,0.5373,0.5373,0.5373
387,0.7006,0.7006,0.7006,0.4364,0.4364,0.4364,0.6477,0.6477,0.6477,0.6064,0.6064,0.6064
388,0.7285,0.7285,0.7285,0.5094,0.5094,0.5094,0.6399,0.6399,0.6399,0.5785,0.5785,0.5785
389,0.6649,0.6649,0.6649,0.6325,0.6325,0.6325,0.6737,0.6737,0.6737,0.6049,0.6049,0.6049
390,0.7056,0.7056,0.7056,0.5296,0.5296,0.5296,0.6949,0.6949,0.6949,0.6629,0.6629,0.6629
391,0.6994,0.6994,0.6994,0.6337,0.6337,0.6337,0.685,0.685,0.685,0.5396,0.5396,0.5396
392,0.7077,0.7077,0.7077,0.537,0.537,0.537,0.6485,0.6485,0.6485,0.5717,0.5717,0.5717
393,0.6803,0.6803,0.6803,0.6505,0.6505,0.6505,0.5886,0.5886,0.5886,0.61,0.61,0.61
394,0.6757,0.6757,0.6757,0.5802,0.5802,0.5802,0.7185,0.7185,0.7185,0.6833,0.6833,0.6833
395,0.687,0.687,0.687,0.6817,0.6817,0.6817,0.6261,0.6261,0.6261,0.5816,0.5816,0.5816
396,0.6741,0.6741,0.6741,0.534,0.534,0.534,0.6696,0.6696,0.6696,0.6001,0.6001,0.6001
397,0.7243,0.7243,0.7243,0.6439,0.6439,0.6439,0.6833,0.6833,0.6833,0.5679,0.5679,0.5679
398,0.6721,0.6721,0.6721,0.6186,0.6186,0.6186,0.7309,0.7309,0.7309,0.5489,0.5489,0.5489
399,0.7211,0.7211,0.7211,0.638,0.638,0.638,0.5924,0.5924,0.5924,0.5269,0.5269,0.5269
400,0.7255,0.7255,0.7255,0.6174,0.6174,0.6174,0.6626,0.6626,0.6626,0.4893,0.4893,0.4893
401,0.7177,0.7177,0.7177,0.5429,0.5429,0.5429,0.6512,0.6512,0.6512,0.5954,0.5954,0.5954
402,0.7215,0.7215,0.7215,0.6137,0.6137,0.6137,0.6793,0.6793,0.6793,0.483,0.483,0.483
403,0.7167,0.7167,0.7167,0.6612,0.6612,0.6612,0.6382,0.6382,0.6382,0.607,0.607,0.607
404,0.7804,0.7804,0.7804,0.5973,0.5973,0.5973,0.6105,0.6105,0.6105,0.4916,0.4916,0.4916
405,0.7384,0.7384,0.7384,0.5388,0.5388,0.5388,0.5404,0.5404,0.5404,0.6209,0.6209,0.6209
406,0.7731,0.7731,0.7731,0.5055,0.5055,0.5055,0.6738,0.6738,0.6738,0.5006,0.5006,0.5006
407,0.7657,0.7657,0.7657,0.6374,0.6374,0.6374,0.7254,0.7254,0.7254,0.5724,0.5724,0.5724
408,0.7342,0.7342,0.7342,0.4899,0.4899,0.4899,0.6866,0.6866,0.6866,0.6002,0.6002,0.6002
409,0.6228,0.6228,0.6228,0.5881,0.5881,0.5881,0.711,0.711,0.711,0.6157,0.6157,0.6157
410,0.7494,0.7494,0.7494,0.6734,0.6734,0.6734,0.7106,0.7106,0.7106,0.5818,0.5818,0.5818
411,0.7067,0.7067,0.7067,0.4754,0.4754,0.4754,0.6881,0.6881,0.6881,0.6236,0.6236,0.6236
412,0.7006,0.7006,0.7006,0.6028,0.6028,0.6028,0.6681,0.6681,0.6681,0.6326,0.6326,0.6326
413,0.7216,0.7216,0.7216,0.6624,0.6624,0.6624,0.7114,0.7114,0.7114,0.6242,0.6242,0.6242
414,0.6262,0.6262,0.6262,0.6096,0.6096,0.6096,0.5815,0.5815,0.5815,0.6336,0.6336,0.6336
415,0.678,0.678,0.678,0.51,0.51,0.51,0.6344,0.6344,0.6344,0.5151,0.5151,0.5151
416,0.7008,0.7008,0.7008,0.6597,0.6597,0.6597,0.6897,0.6897,0.6897,0.553,0.553,0.553
417,0.7023,0.7023,0.7023,0.6686,0.6686,0.6686,0.7217,0.7217,0.7217,0.5049,0.5049,0.5049
418,0.6995,0.6995,0.6995,0.5835,0.5835,0.5835,0.7051,0.7051,0.7051,0.6145,0.6145,0.6145
419,0.6822,0.6822,0.6822,0.5311,0.5311,0.5311,0.5855,0.5855,0.5855,0.6201,0.6201,0.6201
420,0.7108,0.7108,0.7108,0.5302,0.5302,0.5302,0.5961,0.5961,0.5961,0.5984,0.5984,0.5984
421,0.706,0.706,0.706,0.5456,0.5456,0.5456,0.6519,0.6519,0.6519,0.6235,0.6235,0.6235
422,0.7026,0.7026,0.7026,0.6018,0.6018,0.6018,0.6649,0.6649,0.6649,0.6219,0.6219,0.6219
423,0.7084,0.7084,0.7084,0.5969,0.5969,0.5969,0.7,0.7,0.7,0.608,0.608,0.608
424,0.7085,0.7085,0.7085,0.6523,0.6523,0.6523,0.6809,0.6809,0.6809,0.635,0.635,0.635
425,0.7037,0.7037,0.7037,0.6564,0.6564,0.6564,0.6615,0.6615,0.6615,0.6075,0.6075,0.6075
426,0.757,0.757,0.757,0.6712,0.6712,0.6712,0.7111,0.7111,0.7111,0.5852,0.5852,0.5852
427,0.7174,0.7174,0.7174,0.6146,0.6146,0.6146,0.6531,0.6531,0.6531,0.5454,0.5454,0.5454
428,0.7177,0.7177,0.7177,0.5792,0.5792,0.5792,0.5599,0.5599,0.5599,0.6484,0.6484,0.6484
429,0.7104,0.7104,0.7104,0.5571,0.5571,0.5571,0.612,0.612,0.612,0.6293,0.6293,0.6293
430,0.7355,0.7355,0.7355,0.5004,0.5004,0.5004,0.6279,0.6279,0.6279,0.5632,0.5632,0.5632
