Step,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
49,0.5788,0.5788,0.5788,0.4785,0.4785,0.4785,0.6066,0.6066,0.6066,0.5105,0.5105,0.5105
50,0.526,0.526,0.526,0.4217,0.4217,0.4217,0.5798,0.5798,0.5798,0.5523,0.5523,0.5523
51,0.5936,0.5936,0.5936,0.4988,0.4988,0.4988,0.5889,0.5889,0.5889,0.5562,0.5562,0.5562
52,0.5394,0.5394,0.5394,0.5997,0.5997,0.5997,0.5571,0.5571,0.5571,0.5522,0.5522,0.5522
53,0.7131,0.7131,0.7131,0.5358,0.5358,0.5358,0.5752,0.5752,0.5752,0.5108,0.5108,0.5108
54,0.5152,0.5152,0.5152,0.5792,0.5792,0.5792,0.5622,0.5622,0.5622,0.5296,0.5296,0.5296
55,0.5963,0.5963,0.5963,0.4926,0.4926,0.4926,0.5813,0.5813,0.5813,0.5829,0.5829,0.5829
56,0.5476,0.5476,0.5476,0.5298,0.5298,0.5298,0.5884,0.5884,0.5884,0.5973,0.5973,0.5973
57,0.6042,0.6042,0.6042,0.5771,0.5771,0.5771,0.558,0.558,0.558,0.479,0.479,0.479
58,0.5926,0.5926,0.5926,0.5451,0.5451,0.5451,0.5577,0.5577,0.5577,0.5683,0.5683,0.5683
59,0.5065,0.5065,0.5065,0.3801,0.3801,0.3801,0.6007,0.6007,0.6007,0.5553,0.5553,0.5553
60,0.7181,0.7181,0.7181,0.532,0.532,0.532,0.5671,0.5671,0.5671,0.5213,0.5213,0.5213
61,0.6957,0.6957,0.6957,0.6447,0.6447,0.6447,0.5429,0.5429,0.5429,0.5097,0.5097,0.5097
62,0.6587,0.6587,0.6587,0.673,0.673,0.673,0.5903,0.5903,0.5903,0.5968,0.5968,0.5968
63,0.6824,0.6824,0.6824,0.549,0.549,0.549,0.5689,0.5689,0.5689,0.5118,0.5118,0.5118
64,0.6749,0.6749,0.6749,0.5439,0.5439,0.5439,0.5658,0.5658,0.5658,0.6069,0.6069,0.6069
65,0.7177,0.7177,0.7177,0.6288,0.6288,0.6288,0.6057,0.6057,0.6057,0.6109,0.6109,0.6109
66,0.6884,0.6884,0.6884,0.5874,0.5874,0.5874,0.6398,0.6398,0.6398,0.477,0.477,0.477
67,0.7195,0.7195,0.7195,0.483,0.483,0.483,0.6086,0.6086,0.6086,0.4892,0.4892,0.4892
68,0.6589,0.6589,0.6589,0.5804,0.5804,0.5804,0.5747,0.5747,0.5747,0.5724,0.5724,0.5724
69,0.683,0.683,0.683,0.5547,0.5547,0.5547,0.5951,0.5951,0.5951,0.5599,0.5599,0.5599
70,0.6745,0.6745,0.6745,0.5768,0.5768,0.5768,0.5951,0.5951,0.5951,0.529,0.529,0.529
71,0.6721,0.6721,0.6721,0.4002,0.4002,0.4002,0.5593,0.5593,0.5593,0.5865,0.5865,0.5865
72,0.5912,0.5912,0.5912,0.5833,0.5833,0.5833,0.5884,0.5884,0.5884,0.4518,0.4518,0.4518
73,0.6439,0.6439,0.6439,0.5511,0.5511,0.5511,0.5779,0.5779,0.5779,0.4147,0.4147,0.4147
74,0.6268,0.6268,0.6268,0.5802,0.5802,0.5802,0.5635,0.5635,0.5635,0.4859,0.4859,0.4859
75,0.68,0.68,0.68,0.5835,0.5835,0.5835,0.6054,0.6054,0.6054,0.636,0.636,0.636
76,0.6338,0.6338,0.6338,0.667,0.667,0.667,0.652,0.652,0.652,0.5241,0.5241,0.5241
77,0.6188,0.6188,0.6188,0.4879,0.4879,0.4879,0.6278,0.6278,0.6278,0.4577,0.4577,0.4577
78,0.7215,0.7215,0.7215,0.5698,0.5698,0.5698,0.6115,0.6115,0.6115,0.4503,0.4503,0.4503
79,0.6822,0.6822,0.6822,0.5307,0.5307,0.5307,0.578,0.578,0.578,0.4372,0.4372,0.4372
80,0.5828,0.5828,0.5828,0.6233,0.6233,0.6233,0.5693,0.5693,0.5693,0.4686,0.4686,0.4686
81,0.7018,0.7018,0.7018,0.4746,0.4746,0.4746,0.6042,0.6042,0.6042,0.4822,0.4822,0.4822
82,0.6704,0.6704,0.6704,0.5861,0.5861,0.5861,0.6159,0.6159,0.6159,0.4645,0.4645,0.4645
83,0.6877,0.6877,0.6877,0.6433,0.6433,0.6433,0.5804,0.5804,0.5804,0.5516,0.5516,0.5516
84,0.6373,0.6373,0.6373,0.538,0.538,0.538,0.6095,0.6095,0.6095,0.5914,0.5914,0.5914
85,0.5719,0.5719,0.5719,0.4359,0.4359,0.4359,0.5619,0.5619,0.5619,0.5811,0.5811,0.5811
86,0.5894,0.5894,0.5894,0.5805,0.5805,0.5805,0.6153,0.6153,0.6153,0.5063,0.5063,0.5063
87,0.5984,0.5984,0.5984,0.4528,0.4528,0.4528,0.6161,0.6161,0.6161,0.5206,0.5206,0.5206
88,0.603,0.603,0.603,0.5985,0.5985,0.5985,0.5944,0.5944,0.5944,0.5358,0.5358,0.5358
89,0.6102,0.6102,0.6102,0.5102,0.5102,0.5102,0.5877,0.5877,0.5877,0.5329,0.5329,0.5329
90,0.6106,0.6106,0.6106,0.5883,0.5883,0.5883,0.6338,0.6338,0.6338,0.5498,0.5498,0.5498
91,0.6127,0.6127,0.6127,0.5029,0.5029,0.5029,0.6108,0.6108,0.6108,0.4251,0.4251,0.4251
