Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
207,0.6029,0.6029,0.6029,0.6639,0.6639,0.6639,0.5951,0.5951,0.5951,0.4855,0.4855,0.4855
208,0.6056,0.6056,0.6056,0.7375,0.7375,0.7375,0.6647,0.6647,0.6647,0.598,0.598,0.598
209,0.5451,0.5451,0.5451,0.7226,0.7226,0.7226,0.6666,0.6666,0.6666,0.5588,0.5588,0.5588
210,0.5301,0.5301,0.5301,0.7074,0.7074,0.7074,0.6935,0.6935,0.6935,0.6552,0.6552,0.6552
211,0.6159,0.6159,0.6159,0.7365,0.7365,0.7365,0.7039,0.7039,0.7039,0.602,0.602,0.602
212,0.5659,0.5659,0.5659,0.691,0.691,0.691,0.7112,0.7112,0.7112,0.603,0.603,0.603
213,0.6213,0.6213,0.6213,0.706,0.706,0.706,0.7,0.7,0.7,0.5768,0.5768,0.5768
214,0.6533,0.6533,0.6533,0.6804,0.6804,0.6804,0.7012,0.7012,0.7012,0.5854,0.5854,0.5854
215,0.5403,0.5403,0.5403,0.776,0.776,0.776,0.712,0.712,0.712,0.5218,0.5218,0.5218
216,0.5662,0.5662,0.5662,0.7672,0.7672,0.7672,0.7127,0.7127,0.7127,0.5939,0.5939,0.5939
217,0.5569,0.5569,0.5569,0.7587,0.7587,0.7587,0.7057,0.7057,0.7057,0.6836,0.6836,0.6836
218,0.6969,0.6969,0.6969,0.7514,0.7514,0.7514,0.6734,0.6734,0.6734,0.5625,0.5625,0.5625
219,0.5647,0.5647,0.5647,0.806,0.806,0.806,0.6705,0.6705,0.6705,0.5778,0.5778,0.5778
220,0.5911,0.5911,0.5911,0.7948,0.7948,0.7948,0.6958,0.6958,0.6958,0.5286,0.5286,0.5286
221,0.6106,0.6106,0.6106,0.732,0.732,0.732,0.6711,0.6711,0.6711,0.5419,0.5419,0.5419
222,0.6335,0.6335,0.6335,0.7197,0.7197,0.7197,0.697,0.697,0.697,0.6027,0.6027,0.6027
223,0.5677,0.5677,0.5677,0.743,0.743,0.743,0.7025,0.7025,0.7025,0.6078,0.6078,0.6078
224,0.5445,0.5445,0.5445,0.7651,0.7651,0.7651,0.7091,0.7091,0.7091,0.6353,0.6353,0.6353
225,0.629,0.629,0.629,0.7705,0.7705,0.7705,0.7154,0.7154,0.7154,0.6218,0.6218,0.6218
226,0.614,0.614,0.614,0.7734,0.7734,0.7734,0.6892,0.6892,0.6892,0.5572,0.5572,0.5572
227,0.6073,0.6073,0.6073,0.7686,0.7686,0.7686,0.5501,0.5501,0.5501,0.6407,0.6407,0.6407
228,0.6417,0.6417,0.6417,0.7624,0.7624,0.7624,0.6776,0.6776,0.6776,0.5552,0.5552,0.5552
229,0.6214,0.6214,0.6214,0.7849,0.7849,0.7849,0.7082,0.7082,0.7082,0.6192,0.6192,0.6192
230,0.5957,0.5957,0.5957,0.7858,0.7858,0.7858,0.7109,0.7109,0.7109,0.6486,0.6486,0.6486
231,0.6212,0.6212,0.6212,0.7565,0.7565,0.7565,0.7043,0.7043,0.7043,0.6116,0.6116,0.6116
232,0.5909,0.5909,0.5909,0.7262,0.7262,0.7262,0.6834,0.6834,0.6834,0.5087,0.5087,0.5087
233,0.563,0.563,0.563,0.7101,0.7101,0.7101,0.69,0.69,0.69,0.5278,0.5278,0.5278
234,0.5213,0.5213,0.5213,0.6954,0.6954,0.6954,0.6838,0.6838,0.6838,0.6279,0.6279,0.6279
235,0.6329,0.6329,0.6329,0.7297,0.7297,0.7297,0.673,0.673,0.673,0.533,0.533,0.533
236,0.6232,0.6232,0.6232,0.7142,0.7142,0.7142,0.71,0.71,0.71,0.575,0.575,0.575
237,0.512,0.512,0.512,0.6921,0.6921,0.6921,0.6842,0.6842,0.6842,0.4888,0.4888,0.4888
238,0.6756,0.6756,0.6756,0.7425,0.7425,0.7425,0.6982,0.6982,0.6982,0.516,0.516,0.516
239,0.6212,0.6212,0.6212,0.7305,0.7305,0.7305,0.7047,0.7047,0.7047,0.4992,0.4992,0.4992
240,0.5828,0.5828,0.5828,0.7044,0.7044,0.7044,0.6837,0.6837,0.6837,0.5591,0.5591,0.5591
241,0.549,0.549,0.549,0.7255,0.7255,0.7255,0.6873,0.6873,0.6873,0.6641,0.6641,0.6641
242,0.6637,0.6637,0.6637,0.6742,0.6742,0.6742,0.6852,0.6852,0.6852,0.5555,0.5555,0.5555
243,0.6687,0.6687,0.6687,0.6957,0.6957,0.6957,0.686,0.686,0.686,0.6303,0.6303,0.6303
244,0.6944,0.6944,0.6944,0.704,0.704,0.704,0.6854,0.6854,0.6854,0.6494,0.6494,0.6494
245,0.6101,0.6101,0.6101,0.7022,0.7022,0.7022,0.6971,0.6971,0.6971,0.5932,0.5932,0.5932
246,0.6077,0.6077,0.6077,0.7474,0.7474,0.7474,0.7002,0.7002,0.7002,0.5137,0.5137,0.5137
247,0.5959,0.5959,0.5959,0.7805,0.7805,0.7805,0.68,0.68,0.68,0.517,0.517,0.517
248,0.5992,0.5992,0.5992,0.7838,0.7838,0.7838,0.6803,0.6803,0.6803,0.6743,0.6743,0.6743
249,0.6327,0.6327,0.6327,0.7741,0.7741,0.7741,0.6907,0.6907,0.6907,0.5367,0.5367,0.5367
250,0.4961,0.4961,0.4961,0.741,0.741,0.741,0.6996,0.6996,0.6996,0.526,0.526,0.526
251,0.5776,0.5776,0.5776,0.7859,0.7859,0.7859,0.7077,0.7077,0.7077,0.5643,0.5643,0.5643
252,0.6324,0.6324,0.6324,0.7751,0.7751,0.7751,0.7078,0.7078,0.7078,0.6063,0.6063,0.6063
253,0.6929,0.6929,0.6929,0.7885,0.7885,0.7885,0.6862,0.6862,0.6862,0.5598,0.5598,0.5598
254,0.5931,0.5931,0.5931,0.7637,0.7637,0.7637,0.6687,0.6687,0.6687,0.6296,0.6296,0.6296
255,0.5117,0.5117,0.5117,0.7903,0.7903,0.7903,0.6753,0.6753,0.6753,0.6279,0.6279,0.6279
256,0.5644,0.5644,0.5644,0.7927,0.7927,0.7927,0.6864,0.6864,0.6864,0.5789,0.5789,0.5789
257,0.56,0.56,0.56,0.7903,0.7903,0.7903,0.6758,0.6758,0.6758,0.5722,0.5722,0.5722
258,0.6254,0.6254,0.6254,0.8094,0.8094,0.8094,0.6858,0.6858,0.6858,0.5596,0.5596,0.5596
259,0.6655,0.6655,0.6655,0.7877,0.7877,0.7877,0.6954,0.6954,0.6954,0.6024,0.6024,0.6024
260,0.6055,0.6055,0.6055,0.7911,0.7911,0.7911,0.7014,0.7014,0.7014,0.6587,0.6587,0.6587
261,0.5832,0.5832,0.5832,0.7749,0.7749,0.7749,0.7005,0.7005,0.7005,0.6007,0.6007,0.6007
262,0.6238,0.6238,0.6238,0.7814,0.7814,0.7814,0.7008,0.7008,0.7008,0.6745,0.6745,0.6745
263,0.6193,0.6193,0.6193,0.7641,0.7641,0.7641,0.647,0.647,0.647,0.6289,0.6289,0.6289
264,0.6262,0.6262,0.6262,0.7809,0.7809,0.7809,0.6669,0.6669,0.6669,0.6305,0.6305,0.6305
265,0.6688,0.6688,0.6688,0.7801,0.7801,0.7801,0.6764,0.6764,0.6764,0.5955,0.5955,0.5955
266,0.5791,0.5791,0.5791,0.7612,0.7612,0.7612,0.6859,0.6859,0.6859,0.6457,0.6457,0.6457
267,0.616,0.616,0.616,0.7971,0.7971,0.7971,0.6846,0.6846,0.6846,0.6163,0.6163,0.6163
268,0.5581,0.5581,0.5581,0.7552,0.7552,0.7552,0.6803,0.6803,0.6803,0.5975,0.5975,0.5975
269,0.5572,0.5572,0.5572,0.7863,0.7863,0.7863,0.6668,0.6668,0.6668,0.6236,0.6236,0.6236
270,0.5776,0.5776,0.5776,0.7769,0.7769,0.7769,0.6899,0.6899,0.6899,0.6351,0.6351,0.6351
271,0.6404,0.6404,0.6404,0.7484,0.7484,0.7484,0.6984,0.6984,0.6984,0.6392,0.6392,0.6392
272,0.4893,0.4893,0.4893,0.7524,0.7524,0.7524,0.7187,0.7187,0.7187,0.5991,0.5991,0.5991
273,0.6082,0.6082,0.6082,0.7522,0.7522,0.7522,0.6867,0.6867,0.6867,0.5636,0.5636,0.5636
274,0.5069,0.5069,0.5069,0.7333,0.7333,0.7333,0.6792,0.6792,0.6792,0.4516,0.4516,0.4516
275,0.6302,0.6302,0.6302,0.7251,0.7251,0.7251,0.6866,0.6866,0.6866,0.5411,0.5411,0.5411
276,0.6113,0.6113,0.6113,0.6675,0.6675,0.6675,0.6687,0.6687,0.6687,0.538,0.538,0.538
277,0.6284,0.6284,0.6284,0.6991,0.6991,0.6991,0.6918,0.6918,0.6918,0.6285,0.6285,0.6285
278,0.547,0.547,0.547,0.697,0.697,0.697,0.7001,0.7001,0.7001,0.5475,0.5475,0.5475
279,0.4417,0.4417,0.4417,0.74,0.74,0.74,0.7073,0.7073,0.7073,0.6042,0.6042,0.6042
280,0.6135,0.6135,0.6135,0.7601,0.7601,0.7601,0.6955,0.6955,0.6955,0.5993,0.5993,0.5993
281,0.679,0.679,0.679,0.7509,0.7509,0.7509,0.7081,0.7081,0.7081,0.5386,0.5386,0.5386
282,0.5197,0.5197,0.5197,0.7132,0.7132,0.7132,0.695,0.695,0.695,0.6428,0.6428,0.6428
283,0.5446,0.5446,0.5446,0.7678,0.7678,0.7678,0.7028,0.7028,0.7028,0.6264,0.6264,0.6264
284,0.5943,0.5943,0.5943,0.7865,0.7865,0.7865,0.6969,0.6969,0.6969,0.65,0.65,0.65
285,0.5584,0.5584,0.5584,0.7874,0.7874,0.7874,0.6789,0.6789,0.6789,0.6032,0.6032,0.6032
286,0.5881,0.5881,0.5881,0.7848,0.7848,0.7848,0.6546,0.6546,0.6546,0.6015,0.6015,0.6015
287,0.5331,0.5331,0.5331,0.7769,0.7769,0.7769,0.6825,0.6825,0.6825,0.6234,0.6234,0.6234
288,0.5592,0.5592,0.5592,0.7942,0.7942,0.7942,0.6627,0.6627,0.6627,0.6501,0.6501,0.6501
289,0.5995,0.5995,0.5995,0.7886,0.7886,0.7886,0.6947,0.6947,0.6947,0.6686,0.6686,0.6686
290,0.5371,0.5371,0.5371,0.7673,0.7673,0.7673,0.7035,0.7035,0.7035,0.6648,0.6648,0.6648
291,0.5314,0.5314,0.5314,0.7924,0.7924,0.7924,0.6822,0.6822,0.6822,0.6465,0.6465,0.6465
292,0.5336,0.5336,0.5336,0.7943,0.7943,0.7943,0.6799,0.6799,0.6799,0.6321,0.6321,0.6321
293,0.5726,0.5726,0.5726,0.7926,0.7926,0.7926,0.69,0.69,0.69,0.5765,0.5765,0.5765
294,0.6134,0.6134,0.6134,0.7929,0.7929,0.7929,0.6586,0.6586,0.6586,0.5887,0.5887,0.5887
295,0.5729,0.5729,0.5729,0.7785,0.7785,0.7785,0.6962,0.6962,0.6962,0.5257,0.5257,0.5257
296,0.5737,0.5737,0.5737,0.7723,0.7723,0.7723,0.7117,0.7117,0.7117,0.5492,0.5492,0.5492
297,0.6921,0.6921,0.6921,0.766,0.766,0.766,0.7173,0.7173,0.7173,0.5227,0.5227,0.5227
298,0.4276,0.4276,0.4276,0.7852,0.7852,0.7852,0.7163,0.7163,0.7163,0.5726,0.5726,0.5726
299,0.5934,0.5934,0.5934,0.7383,0.7383,0.7383,0.6835,0.6835,0.6835,0.4922,0.4922,0.4922
300,0.5717,0.5717,0.5717,0.7777,0.7777,0.7777,0.6982,0.6982,0.6982,0.5492,0.5492,0.5492
301,0.6229,0.6229,0.6229,0.7731,0.7731,0.7731,0.5875,0.5875,0.5875,0.4461,0.4461,0.4461
302,0.6345,0.6345,0.6345,0.7762,0.7762,0.7762,0.6532,0.6532,0.6532,0.5489,0.5489,0.5489
303,0.613,0.613,0.613,0.7718,0.7718,0.7718,0.6731,0.6731,0.6731,0.6907,0.6907,0.6907
304,0.5919,0.5919,0.5919,0.7949,0.7949,0.7949,0.6354,0.6354,0.6354,0.6028,0.6028,0.6028
305,0.654,0.654,0.654,0.7855,0.7855,0.7855,0.6876,0.6876,0.6876,0.6328,0.6328,0.6328
306,0.6539,0.6539,0.6539,0.7867,0.7867,0.7867,0.6668,0.6668,0.6668,0.6123,0.6123,0.6123
307,0.5602,0.5602,0.5602,0.7863,0.7863,0.7863,0.694,0.694,0.694,0.6513,0.6513,0.6513
308,0.6135,0.6135,0.6135,0.7859,0.7859,0.7859,0.703,0.703,0.703,0.6305,0.6305,0.6305
309,0.6032,0.6032,0.6032,0.8013,0.8013,0.8013,0.7077,0.7077,0.7077,0.6282,0.6282,0.6282
310,0.6181,0.6181,0.6181,0.8082,0.8082,0.8082,0.6764,0.6764,0.6764,0.5509,0.5509,0.5509
311,0.6345,0.6345,0.6345,0.803,0.803,0.803,0.6822,0.6822,0.6822,0.6423,0.6423,0.6423
312,0.6207,0.6207,0.6207,0.8072,0.8072,0.8072,0.6842,0.6842,0.6842,0.6635,0.6635,0.6635
313,0.6514,0.6514,0.6514,0.7748,0.7748,0.7748,0.6517,0.6517,0.6517,0.6459,0.6459,0.6459
314,0.6684,0.6684,0.6684,0.7864,0.7864,0.7864,0.6838,0.6838,0.6838,0.5918,0.5918,0.5918
315,0.5198,0.5198,0.5198,0.7661,0.7661,0.7661,0.7021,0.7021,0.7021,0.6083,0.6083,0.6083
316,0.6335,0.6335,0.6335,0.7534,0.7534,0.7534,0.6752,0.6752,0.6752,0.6173,0.6173,0.6173
317,0.6853,0.6853,0.6853,0.7529,0.7529,0.7529,0.7001,0.7001,0.7001,0.5358,0.5358,0.5358
318,0.587,0.587,0.587,0.7663,0.7663,0.7663,0.6878,0.6878,0.6878,0.6003,0.6003,0.6003
319,0.6025,0.6025,0.6025,0.7705,0.7705,0.7705,0.6389,0.6389,0.6389,0.5862,0.5862,0.5862
320,0.6622,0.6622,0.6622,0.7597,0.7597,0.7597,0.6842,0.6842,0.6842,0.5391,0.5391,0.5391
321,0.6365,0.6365,0.6365,0.78,0.78,0.78,0.6377,0.6377,0.6377,0.6444,0.6444,0.6444
322,0.5579,0.5579,0.5579,0.7659,0.7659,0.7659,0.6273,0.6273,0.6273,0.6112,0.6112,0.6112
323,0.64,0.64,0.64,0.6605,0.6605,0.6605,0.674,0.674,0.674,0.6892,0.6892,0.6892
324,0.6979,0.6979,0.6979,0.6752,0.6752,0.6752,0.6949,0.6949,0.6949,0.5552,0.5552,0.5552
325,0.5508,0.5508,0.5508,0.6666,0.6666,0.6666,0.7032,0.7032,0.7032,0.6507,0.6507,0.6507
326,0.6282,0.6282,0.6282,0.7797,0.7797,0.7797,0.6746,0.6746,0.6746,0.6371,0.6371,0.6371
327,0.5833,0.5833,0.5833,0.746,0.746,0.746,0.7118,0.7118,0.7118,0.5583,0.5583,0.5583
328,0.6112,0.6112,0.6112,0.7751,0.7751,0.7751,0.6206,0.6206,0.6206,0.54,0.54,0.54
329,0.6373,0.6373,0.6373,0.7746,0.7746,0.7746,0.6616,0.6616,0.6616,0.5971,0.5971,0.5971
330,0.5915,0.5915,0.5915,0.7806,0.7806,0.7806,0.7145,0.7145,0.7145,0.5583,0.5583,0.5583
331,0.6875,0.6875,0.6875,0.7724,0.7724,0.7724,0.6802,0.6802,0.6802,0.6147,0.6147,0.6147
332,0.587,0.587,0.587,0.7868,0.7868,0.7868,0.6579,0.6579,0.6579,0.6109,0.6109,0.6109
333,0.6075,0.6075,0.6075,0.7811,0.7811,0.7811,0.6966,0.6966,0.6966,0.5395,0.5395,0.5395
334,0.624,0.624,0.624,0.7717,0.7717,0.7717,0.6748,0.6748,0.6748,0.5688,0.5688,0.5688
335,0.6162,0.6162,0.6162,0.7754,0.7754,0.7754,0.7,0.7,0.7,0.4463,0.4463,0.4463
336,0.6244,0.6244,0.6244,0.7552,0.7552,0.7552,0.653,0.653,0.653,0.6318,0.6318,0.6318
337,0.5736,0.5736,0.5736,0.7706,0.7706,0.7706,0.6883,0.6883,0.6883,0.7141,0.7141,0.7141
338,0.6245,0.6245,0.6245,0.758,0.758,0.758,0.7078,0.7078,0.7078,0.6219,0.6219,0.6219
339,0.5453,0.5453,0.5453,0.8024,0.8024,0.8024,0.7069,0.7069,0.7069,0.6415,0.6415,0.6415
340,0.6603,0.6603,0.6603,0.786,0.786,0.786,0.7033,0.7033,0.7033,0.647,0.647,0.647
341,0.5861,0.5861,0.5861,0.7861,0.7861,0.7861,0.712,0.712,0.712,0.5127,0.5127,0.5127
342,0.5952,0.5952,0.5952,0.7797,0.7797,0.7797,0.6716,0.6716,0.6716,0.5387,0.5387,0.5387
343,0.6963,0.6963,0.6963,0.7742,0.7742,0.7742,0.7118,0.7118,0.7118,0.7062,0.7062,0.7062
344,0.64,0.64,0.64,0.8033,0.8033,0.8033,0.709,0.709,0.709,0.6112,0.6112,0.6112
345,0.6432,0.6432,0.6432,0.7418,0.7418,0.7418,0.6722,0.6722,0.6722,0.5888,0.5888,0.5888
346,0.6305,0.6305,0.6305,0.7566,0.7566,0.7566,0.6596,0.6596,0.6596,0.5811,0.5811,0.5811
347,0.6419,0.6419,0.6419,0.703,0.703,0.703,0.6458,0.6458,0.6458,0.6797,0.6797,0.6797
348,0.5308,0.5308,0.5308,0.7613,0.7613,0.7613,0.6867,0.6867,0.6867,0.6608,0.6608,0.6608
349,0.6217,0.6217,0.6217,0.7769,0.7769,0.7769,0.702,0.702,0.702,0.5962,0.5962,0.5962
350,0.5293,0.5293,0.5293,0.7766,0.7766,0.7766,0.7071,0.7071,0.7071,0.513,0.513,0.513
351,0.5889,0.5889,0.5889,0.7915,0.7915,0.7915,0.711,0.711,0.711,0.6313,0.6313,0.6313
352,0.5927,0.5927,0.5927,0.7679,0.7679,0.7679,0.6724,0.6724,0.6724,0.6448,0.6448,0.6448
353,0.6629,0.6629,0.6629,0.7641,0.7641,0.7641,0.7031,0.7031,0.7031,0.6361,0.6361,0.6361
354,0.5489,0.5489,0.5489,0.7934,0.7934,0.7934,0.7062,0.7062,0.7062,0.5369,0.5369,0.5369
355,0.5973,0.5973,0.5973,0.7721,0.7721,0.7721,0.6564,0.6564,0.6564,0.6182,0.6182,0.6182
356,0.5886,0.5886,0.5886,0.779,0.779,0.779,0.6491,0.6491,0.6491,0.6579,0.6579,0.6579
357,0.6552,0.6552,0.6552,0.7693,0.7693,0.7693,0.6801,0.6801,0.6801,0.5291,0.5291,0.5291
358,0.523,0.523,0.523,0.8075,0.8075,0.8075,0.6348,0.6348,0.6348,0.4916,0.4916,0.4916
359,0.6804,0.6804,0.6804,0.7802,0.7802,0.7802,0.6541,0.6541,0.6541,0.6331,0.6331,0.6331
360,0.5084,0.5084,0.5084,0.7776,0.7776,0.7776,0.6826,0.6826,0.6826,0.5171,0.5171,0.5171
361,0.7202,0.7202,0.7202,0.7403,0.7403,0.7403,0.6717,0.6717,0.6717,0.4865,0.4865,0.4865
362,0.557,0.557,0.557,0.8008,0.8008,0.8008,0.7195,0.7195,0.7195,0.6616,0.6616,0.6616
363,0.5441,0.5441,0.5441,0.7968,0.7968,0.7968,0.6825,0.6825,0.6825,0.6289,0.6289,0.6289
364,0.6727,0.6727,0.6727,0.7048,0.7048,0.7048,0.6917,0.6917,0.6917,0.627,0.627,0.627
365,0.5247,0.5247,0.5247,0.7557,0.7557,0.7557,0.6586,0.6586,0.6586,0.6089,0.6089,0.6089
366,0.6051,0.6051,0.6051,0.7718,0.7718,0.7718,0.6367,0.6367,0.6367,0.5331,0.5331,0.5331
367,0.6281,0.6281,0.6281,0.7577,0.7577,0.7577,0.6686,0.6686,0.6686,0.5678,0.5678,0.5678
368,0.6141,0.6141,0.6141,0.7218,0.7218,0.7218,0.6697,0.6697,0.6697,0.5801,0.5801,0.5801
369,0.5875,0.5875,0.5875,0.7694,0.7694,0.7694,0.6978,0.6978,0.6978,0.5385,0.5385,0.5385
370,0.6915,0.6915,0.6915,0.7601,0.7601,0.7601,0.6961,0.6961,0.6961,0.633,0.633,0.633
371,0.6718,0.6718,0.6718,0.7776,0.7776,0.7776,0.6793,0.6793,0.6793,0.6695,0.6695,0.6695
372,0.505,0.505,0.505,0.7545,0.7545,0.7545,0.7051,0.7051,0.7051,0.6755,0.6755,0.6755
373,0.6154,0.6154,0.6154,0.7752,0.7752,0.7752,0.7151,0.7151,0.7151,0.6255,0.6255,0.6255
374,0.5577,0.5577,0.5577,0.7819,0.7819,0.7819,0.7101,0.7101,0.7101,0.5259,0.5259,0.5259
375,0.5387,0.5387,0.5387,0.7825,0.7825,0.7825,0.7128,0.7128,0.7128,0.6121,0.6121,0.6121
376,0.5756,0.5756,0.5756,0.7824,0.7824,0.7824,0.7089,0.7089,0.7089,0.6296,0.6296,0.6296
377,0.5613,0.5613,0.5613,0.7746,0.7746,0.7746,0.6581,0.6581,0.6581,0.688,0.688,0.688
378,0.6727,0.6727,0.6727,0.7964,0.7964,0.7964,0.6851,0.6851,0.6851,0.6277,0.6277,0.6277
379,0.4951,0.4951,0.4951,0.7868,0.7868,0.7868,0.6368,0.6368,0.6368,0.6795,0.6795,0.6795
380,0.613,0.613,0.613,0.8129,0.8129,0.8129,0.6272,0.6272,0.6272,0.5718,0.5718,0.5718
381,0.6644,0.6644,0.6644,0.7952,0.7952,0.7952,0.6678,0.6678,0.6678,0.5346,0.5346,0.5346
382,0.5603,0.5603,0.5603,0.7897,0.7897,0.7897,0.6759,0.6759,0.6759,0.5454,0.5454,0.5454
383,0.6379,0.6379,0.6379,0.7684,0.7684,0.7684,0.6896,0.6896,0.6896,0.4895,0.4895,0.4895
384,0.6543,0.6543,0.6543,0.808,0.808,0.808,0.6475,0.6475,0.6475,0.5307,0.5307,0.5307
385,0.6657,0.6657,0.6657,0.7806,0.7806,0.7806,0.6961,0.6961,0.6961,0.6939,0.6939,0.6939
386,0.7012,0.7012,0.7012,0.7381,0.7381,0.7381,0.6978,0.6978,0.6978,0.6763,0.6763,0.6763
387,0.5264,0.5264,0.5264,0.7792,0.7792,0.7792,0.6985,0.6985,0.6985,0.5481,0.5481,0.5481
388,0.5459,0.5459,0.5459,0.7827,0.7827,0.7827,0.6544,0.6544,0.6544,0.6087,0.6087,0.6087
389,0.683,0.683,0.683,0.7758,0.7758,0.7758,0.6971,0.6971,0.6971,0.589,0.589,0.589
390,0.5122,0.5122,0.5122,0.7611,0.7611,0.7611,0.6409,0.6409,0.6409,0.6536,0.6536,0.6536
391,0.6211,0.6211,0.6211,0.7975,0.7975,0.7975,0.7068,0.7068,0.7068,0.5201,0.5201,0.5201
392,0.5108,0.5108,0.5108,0.7724,0.7724,0.7724,0.7139,0.7139,0.7139,0.6683,0.6683,0.6683
393,0.6641,0.6641,0.6641,0.8034,0.8034,0.8034,0.6895,0.6895,0.6895,0.6064,0.6064,0.6064
394,0.6009,0.6009,0.6009,0.7473,0.7473,0.7473,0.6794,0.6794,0.6794,0.6236,0.6236,0.6236
395,0.6015,0.6015,0.6015,0.727,0.727,0.727,0.6347,0.6347,0.6347,0.5642,0.5642,0.5642
396,0.5648,0.5648,0.5648,0.7802,0.7802,0.7802,0.6569,0.6569,0.6569,0.5361,0.5361,0.5361
397,0.5436,0.5436,0.5436,0.7647,0.7647,0.7647,0.6537,0.6537,0.6537,0.6855,0.6855,0.6855
398,0.6313,0.6313,0.6313,0.8088,0.8088,0.8088,0.6696,0.6696,0.6696,0.6713,0.6713,0.6713
399,0.5406,0.5406,0.5406,0.803,0.803,0.803,0.7148,0.7148,0.7148,0.5976,0.5976,0.5976
400,0.5696,0.5696,0.5696,0.7443,0.7443,0.7443,0.6623,0.6623,0.6623,0.6051,0.6051,0.6051
401,0.6476,0.6476,0.6476,0.7746,0.7746,0.7746,0.7119,0.7119,0.7119,0.6269,0.6269,0.6269
402,0.5929,0.5929,0.5929,0.744,0.744,0.744,0.6249,0.6249,0.6249,0.5685,0.5685,0.5685
403,0.6137,0.6137,0.6137,0.7487,0.7487,0.7487,0.6371,0.6371,0.6371,0.654,0.654,0.654
404,0.5476,0.5476,0.5476,0.7263,0.7263,0.7263,0.689,0.689,0.689,0.6444,0.6444,0.6444
405,0.6806,0.6806,0.6806,0.7912,0.7912,0.7912,0.6618,0.6618,0.6618,0.6615,0.6615,0.6615
406,0.5356,0.5356,0.5356,0.7595,0.7595,0.7595,0.7023,0.7023,0.7023,0.5594,0.5594,0.5594
407,0.6236,0.6236,0.6236,0.8099,0.8099,0.8099,0.6356,0.6356,0.6356,0.6017,0.6017,0.6017
408,0.5143,0.5143,0.5143,0.8044,0.8044,0.8044,0.6835,0.6835,0.6835,0.6161,0.6161,0.6161
409,0.6272,0.6272,0.6272,0.7489,0.7489,0.7489,0.6888,0.6888,0.6888,0.6107,0.6107,0.6107
410,0.574,0.574,0.574,0.7726,0.7726,0.7726,0.6702,0.6702,0.6702,0.6133,0.6133,0.6133
411,0.6255,0.6255,0.6255,0.7517,0.7517,0.7517,0.6898,0.6898,0.6898,0.6816,0.6816,0.6816
412,0.5501,0.5501,0.5501,0.7469,0.7469,0.7469,0.6741,0.6741,0.6741,0.6116,0.6116,0.6116
413,0.6444,0.6444,0.6444,0.7402,0.7402,0.7402,0.681,0.681,0.681,0.5954,0.5954,0.5954
414,0.6674,0.6674,0.6674,0.7463,0.7463,0.7463,0.7221,0.7221,0.7221,0.6438,0.6438,0.6438
415,0.6782,0.6782,0.6782,0.7277,0.7277,0.7277,0.7216,0.7216,0.7216,0.6216,0.6216,0.6216
416,0.5381,0.5381,0.5381,0.7442,0.7442,0.7442,0.7131,0.7131,0.7131,0.6306,0.6306,0.6306
417,0.5234,0.5234,0.5234,0.7166,0.7166,0.7166,0.7202,0.7202,0.7202,0.5759,0.5759,0.5759
418,0.6456,0.6456,0.6456,0.7672,0.7672,0.7672,0.7034,0.7034,0.7034,0.6418,0.6418,0.6418
419,0.5114,0.5114,0.5114,0.747,0.747,0.747,0.7128,0.7128,0.7128,0.5434,0.5434,0.5434
420,0.6244,0.6244,0.6244,0.7472,0.7472,0.7472,0.7085,0.7085,0.7085,0.5826,0.5826,0.5826
421,0.6761,0.6761,0.6761,0.7307,0.7307,0.7307,0.6222,0.6222,0.6222,0.6681,0.6681,0.6681
422,0.6732,0.6732,0.6732,0.7469,0.7469,0.7469,0.631,0.631,0.631,0.6254,0.6254,0.6254
423,0.5666,0.5666,0.5666,0.7381,0.7381,0.7381,0.7212,0.7212,0.7212,0.6143,0.6143,0.6143
424,0.6872,0.6872,0.6872,0.8052,0.8052,0.8052,0.6862,0.6862,0.6862,0.6824,0.6824,0.6824
425,0.5768,0.5768,0.5768,0.7744,0.7744,0.7744,0.7216,0.7216,0.7216,0.628,0.628,0.628
426,0.7045,0.7045,0.7045,0.7391,0.7391,0.7391,0.6975,0.6975,0.6975,0.5454,0.5454,0.5454
427,0.5435,0.5435,0.5435,0.7585,0.7585,0.7585,0.6983,0.6983,0.6983,0.6517,0.6517,0.6517
428,0.6043,0.6043,0.6043,0.7482,0.7482,0.7482,0.7165,0.7165,0.7165,0.5981,0.5981,0.5981
429,0.6338,0.6338,0.6338,0.7566,0.7566,0.7566,0.7082,0.7082,0.7082,0.7156,0.7156,0.7156
430,0.4845,0.4845,0.4845,0.7206,0.7206,0.7206,0.7137,0.7137,0.7137,0.6523,0.6523,0.6523
431,0.606,0.606,0.606,0.5722,0.5722,0.5722,0.7125,0.7125,0.7125,0.5323,0.5323,0.5323
432,0.5479,0.5479,0.5479,0.6571,0.6571,0.6571,0.6394,0.6394,0.6394,0.6887,0.6887,0.6887
433,0.6394,0.6394,0.6394,0.6773,0.6773,0.6773,0.6746,0.6746,0.6746,0.6737,0.6737,0.6737
